Blue_Team,Red_Team,Blue_Utility,Red_Utility
MAD Lions,Team Vitality,30.45774163709592,14.999581914668061
MAD Lions,Rogue,32.0927481987222,16.08340434201691
MAD Lions,SK Gaming,26.800071833972734,13.678473225428403
MAD Lions,Excel Esports,29.060537270313805,15.21834076296248
MAD Lions,G2 Esports,30.21661604488149,16.176551915174002
MAD Lions,Astralis,29.093024992346066,14.210675981423831
MAD Lions,Misfits Gaming,30.675359847489286,15.019032151750853
MAD Lions,Fnatic,31.058887384914183,16.357036451635015
MAD Lions,Team BDS,27.152362618352804,14.280743804695941
Team Vitality,MAD Lions,30.425641728306765,12.718120653092416
Team Vitality,Rogue,32.71126950768878,12.103301034991325
Team Vitality,SK Gaming,29.296551059589234,9.736106332236407
Team Vitality,Excel Esports,30.419986740986428,11.361823724405976
Team Vitality,G2 Esports,30.847479972587404,12.259070877529895
Team Vitality,Astralis,30.37375208240414,10.174001279504564
Team Vitality,Misfits Gaming,32.16525923175209,11.454676791741495
Team Vitality,Fnatic,31.91810267607784,12.525533095472621
Team Vitality,Team BDS,27.472460831436237,10.248621550973581
Rogue,MAD Lions,32.16166934815898,15.234538806846523
Rogue,Team Vitality,33.16977570277866,13.563038670100731
Rogue,SK Gaming,30.998916997590445,12.397679717040077
Rogue,Excel Esports,32.350560387982576,13.888046289358542
Rogue,G2 Esports,31.695050776880457,15.068564919694804
Rogue,Astralis,31.765851840060808,12.771087993280275
Rogue,Misfits Gaming,34.09369118935604,14.098692694652772
Rogue,Fnatic,33.94923356195389,15.492477051013584
Rogue,Team BDS,29.70486290290514,12.929857902629339
SK Gaming,MAD Lions,26.451085757645895,13.34945760942091
SK Gaming,Team Vitality,28.853243429102506,11.638597727396702
SK Gaming,Rogue,30.247153741708235,12.922148193621334
SK Gaming,Excel Esports,26.926434642158746,11.936845582649973
SK Gaming,G2 Esports,28.241446221092524,12.945880210972755
SK Gaming,Astralis,27.44625450677233,10.730629438671867
SK Gaming,Misfits Gaming,28.681371826746076,11.897569644103795
SK Gaming,Fnatic,29.609678580807284,13.619972387731776
SK Gaming,Team BDS,24.89952620271672,10.804866510445972
Excel Esports,MAD Lions,28.028519991437875,15.545012180484315
Excel Esports,Team Vitality,30.151109641665226,14.041692690577053
Excel Esports,Rogue,31.945285475257137,15.20076549616273
Excel Esports,SK Gaming,27.17079409922861,12.611435978656532
Excel Esports,G2 Esports,29.934098182698673,15.287536124123932
Excel Esports,Astralis,29.01450089187853,13.161844256778938
Excel Esports,Misfits Gaming,30.24188240687342,14.168827431195849
Excel Esports,Fnatic,30.946379083843816,15.749139276436146
Excel Esports,Team BDS,26.82022575454417,13.104839489017067
G2 Esports,MAD Lions,30.127714971120668,15.744689295634592
G2 Esports,Team Vitality,31.46310825718444,13.96947782868676
G2 Esports,Rogue,32.332257266108876,15.309567071262448
G2 Esports,SK Gaming,29.044173999988026,12.974248554714086
G2 Esports,Excel Esports,30.149225186679733,14.467939881166458
G2 Esports,Astralis,30.089064478336404,13.376673048354476
G2 Esports,Misfits Gaming,32.157519307284865,14.49997225347957
G2 Esports,Fnatic,31.981566830545297,15.704625082240915
G2 Esports,Team BDS,28.13192726350785,13.332671863273346
Astralis,MAD Lions,28.534399828587834,13.144473979139043
Astralis,Team Vitality,30.084381810851447,11.817380587718116
Astralis,Rogue,31.6627681869727,13.202108692581682
Astralis,SK Gaming,27.469570056612113,10.497559317351836
Astralis,Excel Esports,28.848805841036164,12.051477806426826
Astralis,G2 Esports,29.90193669812142,13.141006442395534
Astralis,Misfits Gaming,30.54694383204801,12.022102933682532
Astralis,Fnatic,30.476964254756183,13.351791203073665
Astralis,Team BDS,26.718994884469097,11.044221526427515
Misfits Gaming,MAD Lions,30.148919163186836,13.677438393169446
Misfits Gaming,Team Vitality,32.199691886617536,12.18841890000033
Misfits Gaming,Rogue,34.14119897727596,13.356670817880717
Misfits Gaming,SK Gaming,28.591698154087492,10.834617198159021
Misfits Gaming,Excel Esports,31.086118449454172,12.638858678638837
Misfits Gaming,G2 Esports,31.927892779133376,13.615758392128573
Misfits Gaming,Astralis,30.935249288936546,11.470893969306934
Misfits Gaming,Fnatic,33.32017440202617,13.583163073667345
Misfits Gaming,Team BDS,29.216875797269907,11.25748355911026
Fnatic,MAD Lions,31.07271765872541,15.893518185913543
Fnatic,Team Vitality,32.58438696594614,14.105120187518777
Fnatic,Rogue,34.23094037993799,15.603029219241629
Fnatic,SK Gaming,30.0160330145745,13.299943633954262
Fnatic,Excel Esports,31.359261731154344,14.7939906521651
Fnatic,G2 Esports,32.453620539861994,15.445569880179322
Fnatic,Astralis,30.63457249920566,13.71880413452167
Fnatic,Misfits Gaming,33.24543785132163,14.743033362297894
Fnatic,Team BDS,29.0655239916477,13.387214486970327
Team BDS,MAD Lions,26.951440177735478,13.292340504011817
Team BDS,Team Vitality,27.95464240809019,11.389941770588102
Team BDS,Rogue,29.82254099204186,12.596293407778232
Team BDS,SK Gaming,25.781298348633836,10.173817520754875
Team BDS,Excel Esports,26.38619253026723,11.854119129409048
Team BDS,G2 Esports,28.073685001346835,12.64442333837301
Team BDS,Astralis,26.899836377591605,10.47147285238525
Team BDS,Misfits Gaming,28.898961440163454,11.702013137871697
Team BDS,Fnatic,29.044460076981782,13.279963198603852
