Blue_Team,Red_Team,Blue_Utility,Red_Utility,BS1,BS2,BS3,BS4,BS5,RS1,RS2,RS3,RS4,RS5,BB1,BB2,BB3,BB4,BB5,RB1,RB2,RB3,RB4,RB5
MAD Lions,Team Vitality,30.1350443455946,18.64367919308109,Nautilus,Zeri,Lee Sin,Taliyah,Aatrox,Corki,Thresh,Wukong,Volibear,Ahri,Gnar,Aphelios,Tahm Kench,Xin Zhao,Trundle,Lucian,Jinx,Kalista,Karthus,Sivir
MAD Lions,Rogue,31.71068031377957,21.777199629868203,Nautilus,Jinx,Lee Sin,Taliyah,Gwen,Renekton,Ahri,Xin Zhao,Aatrox,Nami,Jarvan IV,Ornn,Aphelios,Rakan,Azir,Kalista,Lucian,Zeri,Sivir,Twitch
MAD Lions,SK Gaming,26.468384100800666,18.13291142330251,Lee Sin,Taliyah,Aatrox,Rakan,Sivir,Draven,Alistar,Jarvan IV,Sylas,Graves,Jinx,Nautilus,Leona,LeBlanc,Renata Glasc,Kalista,Zeri,Aphelios,Lucian,Twitch
MAD Lions,Excel Esports,28.723459628318476,20.10594917511741,Nautilus,Lee Sin,Aphelios,Taliyah,Aatrox,Lulu,Nilah,Corki,Viego,Sejuani,Jinx,Xin Zhao,Wukong,Yuumi,Gwen,Zeri,Lucian,Draven,Karthus,Twitch
MAD Lions,G2 Esports,29.93006143422323,19.89147338885638,Nautilus,Jinx,Lee Sin,Taliyah,Aatrox,Viego,Gwen,Sivir,Lissandra,Rakan,Ahri,Jarvan IV,Aphelios,Trundle,Sylas,Kalista,Lucian,Draven,Twitch,Karthus
MAD Lions,Astralis,28.882774025532893,19.286906667208978,Nautilus,Jinx,Lee Sin,Taliyah,Aatrox,Rakan,Viktor,Graves,Draven,Gwen,Vex,Viego,Trundle,Leona,Wukong,Lucian,Zeri,Aphelios,Kalista,Karthus
MAD Lions,Misfits Gaming,30.294661055547476,19.326708230517294,Nautilus,Aphelios,Wukong,Taliyah,Aatrox,Gnar,Yuumi,Poppy,Ahri,Ahri,Lee Sin,Leona,Jinx,Sylas,Sivir,Zeri,Kalista,Lucian,Draven,Twitch
MAD Lions,Fnatic,30.536574180723626,21.953952311094298,Nautilus,Jinx,Lee Sin,Taliyah,Ornn,Sylas,Gwen,Renata Glasc,Aatrox,Poppy,Viego,Zeri,Aphelios,Trundle,LeBlanc,Lucian,Kalista,Draven,Twitch,Sivir
MAD Lions,Team BDS,26.87848047073077,17.39315876376054,Nautilus,Zeri,Lee Sin,Taliyah,Aatrox,Gwen,Ryze,Twitch,Leona,Viego,Xin Zhao,Aphelios,Ezreal,LeBlanc,Jarvan IV,Kalista,Jinx,Draven,Karthus,Sivir
Team Vitality,MAD Lions,30.029393940409133,14.826685330652303,Gnar,Aphelios,Tahm Kench,Xin Zhao,Ahri,Gwen,Sivir,Leona,Sylas,Renekton,Nautilus,Jinx,Lee Sin,Wukong,Taliyah,Lucian,Zeri,Draven,Kalista,Samira
Team Vitality,Rogue,32.61167365312318,17.332942322865165,Gnar,Tahm Kench,Trundle,Orianna,Xayah,Renekton,Xin Zhao,Ahri,Jhin,Nami,Jarvan IV,Ornn,Aphelios,Rakan,Azir,Lucian,Kalista,Draven,Jinx,Zeri
Team Vitality,SK Gaming,28.916806526783034,14.206338428679452,Gnar,Aphelios,Tahm Kench,Xin Zhao,Ahri,Sylas,Rakan,Graves,Samira,Hecarim,Jinx,Nautilus,Leona,Jarvan IV,LeBlanc,Lucian,Zeri,Kalista,Karthus,Twitch
Team Vitality,Excel Esports,29.86358680767918,16.019350944768675,Gnar,Aphelios,Tahm Kench,Trundle,Ahri,Sivir,Gwen,Ornn,Lulu,Taliyah,Jinx,Xin Zhao,Wukong,Yuumi,Lissandra,Kalista,Lucian,Zeri,Karthus,Draven
Team Vitality,G2 Esports,30.843642379767488,15.40633684008836,Gnar,Tahm Kench,Xin Zhao,Orianna,Xayah,Gwen,Jhin,Trundle,Yasuo,Nautilus,Ahri,Jarvan IV,Aphelios,Sylas,Rakan,Zeri,Jinx,Lucian,Draven,Kalista
Team Vitality,Astralis,30.202585729195004,15.579222769185407,Gnar,Tahm Kench,Xin Zhao,Ahri,Xayah,Aphelios,Sylas,Wukong,Poppy,Pyke,Vex,Viego,Trundle,Leona,Rakan,Kalista,Jinx,Zeri,Draven,Sivir
Team Vitality,Misfits Gaming,31.838508145617826,14.89976228262372,Gnar,Tahm Kench,Xin Zhao,Ahri,Xayah,Thresh,Aphelios,Poppy,Gwen,Zoe,Lee Sin,Leona,Sylas,Sivir,Ornn,Zeri,Jinx,Lucian,Kalista,Twitch
Team Vitality,Fnatic,31.76176132553997,17.743269463162335,Gnar,Tahm Kench,Xin Zhao,Ahri,Xayah,Twisted Fate,Renata Glasc,Jayce,Lee Sin,Twitch,Viego,Zeri,Aphelios,Trundle,Gwen,Kalista,Lucian,Jinx,Sivir,Karthus
