Blue_Team,Red_Team,Blue_Utility,Red_Utility,BS1,BS2,BS3,BS4,BS5,RS1,RS2,RS3,RS4,RS5,BB1,BB2,BB3,BB4,BB5,RB1,RB2,RB3,RB4,RB5
MAD Lions,Team Vitality,30.47008856407746,15.331162758505673,Nautilus,Jinx,Lee Sin,Taliyah,Gwen,Renata Glasc,Aatrox,Twisted Fate,Ahri,Aphelios,Gnar,Aphelios,Tahm Kench,Xin Zhao,Trundle,Sivir,Karthus,Nilah,Lucian,Varus
MAD Lions,Rogue,32.11489127687695,16.41662230426181,Nautilus,Zeri,Lee Sin,Aatrox,Twisted Fate,Taliyah,Gnar,Lulu,Viego,Alistar,Jarvan IV,Ornn,Aphelios,Rakan,Azir,Jinx,Lucian,Nilah,Samira,Varus
MAD Lions,SK Gaming,26.80532576548293,14.081604187285418,Lee Sin,Aphelios,Taliyah,Aatrox,Rakan,Vi,Lulu,Graves,Vex,Akshan,Jinx,Nautilus,Leona,Jarvan IV,LeBlanc,Samira,Zeri,Nilah,Viego,Twitch
MAD Lions,Excel Esports,29.053905604046655,15.523433866654578,Nautilus,Zeri,Lee Sin,Taliyah,Ornn,Twisted Fate,Trundle,Yuumi,Aatrox,Jax,Jinx,Xin Zhao,Wukong,Gwen,Aphelios,Sivir,Samira,Kalista,Viego,Twitch
MAD Lions,G2 Esports,30.226854068996,16.82239435997832,Nautilus,Jinx,Lee Sin,Taliyah,Aatrox,Akshan,Jax,Thresh,Viktor,Hecarim,Ahri,Jarvan IV,Aphelios,Trundle,Sylas,Draven,Kalista,Varus,Viego,Lucian
MAD Lions,Astralis,29.11385648670814,14.312587565859358,Nautilus,Jinx,Lee Sin,Taliyah,Ornn,Irelia,Sivir,Aatrox,Thresh,Aatrox,Vex,Viego,Trundle,Leona,Rakan,Twitch,Lucian,Draven,Kalista,Gwen
MAD Lions,Misfits Gaming,30.681073718824102,15.595106154666315,Nautilus,Aphelios,Wukong,Taliyah,Aatrox,Rakan,Akshan,Diana,Cassiopeia,Renekton,Lee Sin,Leona,Jinx,Sylas,Gnar,Kalista,Sivir,Zeri,Karthus,Lucian
MAD Lions,Fnatic,31.015029105083517,16.76008579960478,Nautilus,Jinx,Lee Sin,Taliyah,Aatrox,Ryze,Ahri,Gnar,Ahri,Braum,Viego,Zeri,Aphelios,Trundle,Lucian,Jhin,Sivir,Draven,Gwen,Nilah
MAD Lions,Team BDS,27.150620107745933,14.562310016880335,Nautilus,Zeri,Lee Sin,Aatrox,Twisted Fate,Taliyah,Volibear,Jhin,Kennen,Rakan,Xin Zhao,Aphelios,Ezreal,LeBlanc,Jarvan IV,Jinx,Samira,Draven,Varus,Sivir
Team Vitality,MAD Lions,30.246707374106016,18.04145287557756,Gnar,Aphelios,Tahm Kench,Xin Zhao,Ahri,Jayce,Alistar,Sivir,Vex,Ahri,Nautilus,Jinx,Zeri,Lee Sin,Taliyah,Trundle,Wukong,Lucian,Diana,Jarvan IV
