Blue_Team,Red_Team,Blue_Utility,Red_Utility
MAD Lions,Team Vitality,30.01331214627936,19.761367521081553
MAD Lions,Rogue,31.577927192937356,23.195624873072667
MAD Lions,SK Gaming,26.476107564004366,18.692827442864616
MAD Lions,Excel Esports,28.764864546409644,20.553764274596517
MAD Lions,G2 Esports,29.80057251198774,21.559629817538323
MAD Lions,Astralis,28.803026900644326,20.51155092946748
MAD Lions,Misfits Gaming,30.208093415374414,21.635675545980707
MAD Lions,Fnatic,30.429760781490618,22.709006757488385
MAD Lions,Team BDS,26.77765282505195,19.012984476348247
Team Vitality,MAD Lions,29.72596986666203,21.124052446086104
Team Vitality,Rogue,32.52082839006389,22.901883098229142
Team Vitality,SK Gaming,28.733849558831484,18.855747677490857
Team Vitality,Excel Esports,29.622169113289036,20.401417801985268
Team Vitality,G2 Esports,30.643834027391403,21.333705588356093
Team Vitality,Astralis,29.773832794076128,19.976229059618262
Team Vitality,Misfits Gaming,31.247663709384263,20.81893254969128
Team Vitality,Fnatic,31.609210160082736,22.579630130926788
Team Vitality,Team BDS,27.36410756128631,18.272224959966454
Rogue,MAD Lions,31.70147528704358,24.23247586451583
Rogue,Team Vitality,32.941615632946394,22.636128353302297
Rogue,SK Gaming,30.558930558374104,21.992526506504213
Rogue,Excel Esports,31.998114255579356,24.17497896530285
Rogue,G2 Esports,31.39537970363372,24.592819720132958
Rogue,Astralis,31.522251341289568,22.711981189147043
Rogue,Misfits Gaming,33.59025537169168,24.436642419803537
Rogue,Fnatic,33.59887318503501,25.979464916955344
Rogue,Team BDS,29.556821896409836,21.856283566701038
SK Gaming,MAD Lions,26.33932058516458,18.594218142837637
SK Gaming,Team Vitality,28.409132103603397,17.545574181392823
SK Gaming,Rogue,29.704996687978547,21.50191800319766
SK Gaming,Excel Esports,26.81487835259013,18.231668361323134
SK Gaming,G2 Esports,27.725410528949638,19.62241257032519
SK Gaming,Astralis,26.87896043726838,18.11615305921687
SK Gaming,Misfits Gaming,28.36118778322038,19.608523438175066
SK Gaming,Fnatic,29.114942418407956,21.10768542220107
SK Gaming,Team BDS,24.048914981746915,16.45790956023056
Excel Esports,MAD Lions,27.71315737136323,20.454793702726803
Excel Esports,Team Vitality,29.57289368029341,19.25505856012653
Excel Esports,Rogue,31.36134346957396,22.74864446439361
Excel Esports,SK Gaming,26.892435184358664,18.483061879470096
Excel Esports,G2 Esports,29.43260138365597,20.97450386495168
Excel Esports,Astralis,28.454483453216874,20.493738217811835
Excel Esports,Misfits Gaming,29.61803505670771,21.47160530521774
Excel Esports,Fnatic,30.24720526311996,22.438087165062278
Excel Esports,Team BDS,26.246366293338298,18.727686588471897
G2 Esports,MAD Lions,29.725588832818502,21.490461684957914
G2 Esports,Team Vitality,31.191839274107927,19.94095052233183
G2 Esports,Rogue,32.03226079743487,23.688465934294
G2 Esports,SK Gaming,28.51182515436207,19.48720513405278
G2 Esports,Excel Esports,29.628309419605863,21.430426830174977
G2 Esports,Astralis,29.727584133542603,21.011041448545594
G2 Esports,Misfits Gaming,31.600796815143166,22.460255392971042
G2 Esports,Fnatic,31.621601058370963,23.33015949670517
G2 Esports,Team BDS,27.798707981168327,19.426110793278806
Astralis,MAD Lions,28.414147940912233,19.360525633315024
Astralis,Team Vitality,29.753091312745838,18.534502137307616
Astralis,Rogue,31.541127823710923,22.422238590670545
Astralis,SK Gaming,27.259295688176877,17.285853843704263
Astralis,Excel Esports,28.733902569160144,19.435808628403766
Astralis,G2 Esports,29.62048145508981,20.407902642973305
Astralis,Misfits Gaming,30.144419269253703,20.2293248845244
Astralis,Fnatic,30.172285951832986,21.487347915923696
Astralis,Team BDS,26.512284044771,17.41583656988137
Misfits Gaming,MAD Lions,29.15075458350677,22.883848131186358
Misfits Gaming,Team Vitality,31.45292765347925,21.75048050518783
Misfits Gaming,Rogue,33.29083287540167,25.921157208066333
Misfits Gaming,SK Gaming,27.981004760471325,20.750524659448942
Misfits Gaming,Excel Esports,30.475865793503296,23.18721018114684
Misfits Gaming,G2 Esports,31.238206047113692,23.895154590233737
Misfits Gaming,Astralis,30.158590081524842,22.33826931279128
Misfits Gaming,Fnatic,32.48831198348394,25.01298763143253
Misfits Gaming,Team BDS,28.3469168159348,21.0129625644176
Fnatic,MAD Lions,30.547079171828408,22.583821628893507
Fnatic,Team Vitality,32.04416751163607,21.250917870969957
Fnatic,Rogue,33.549380416291065,25.097825540974164
Fnatic,SK Gaming,29.576418574651953,21.006179846741016
Fnatic,Excel Esports,30.75644092232461,22.752026710659848
Fnatic,G2 Esports,31.673062148676657,23.238659450232344
Fnatic,Astralis,30.37788669444241,22.230687067406485
Fnatic,Misfits Gaming,32.637857036833054,23.315355977360824
Fnatic,Team BDS,28.53586238697412,20.270046133563525
Team BDS,MAD Lions,26.740695393230713,19.475900708731547
Team BDS,Team Vitality,27.626702756241393,17.464503894103633
Team BDS,Rogue,29.75860030223485,21.422417915726108
Team BDS,SK Gaming,25.638144646558086,16.847044905256432
Team BDS,Excel Esports,26.22683407334349,18.697573348475686
Team BDS,G2 Esports,27.896791650501335,19.64378942876992
Team BDS,Astralis,26.748638582975627,17.918587642345226
Team BDS,Misfits Gaming,28.56886300854854,19.1886357576346
Team BDS,Fnatic,28.940021959107426,21.28243779976509
