champion,bot,jng,mid,sup,top
Aatrox,0.0,0.0,0.0,0.0,1.7320508075688772
Ahri,0.0,0.0,3.872983346207417,0.0,0.0
Akali,0.0,0.0,2.0,0.0,0.0
Alistar,0.0,0.0,0.0,2.449489742783178,0.0
Amumu,0.0,0.0,0.0,1.4142135623730951,0.0
Aphelios,5.5677643628300215,0.0,0.0,0.0,0.0
Azir,0.0,0.0,3.3166247903554,0.0,0.0
Braum,0.0,0.0,0.0,2.449489742783178,0.0
Corki,0.0,0.0,3.3166247903554,0.0,0.0
Diana,0.0,1.4142135623730951,0.0,0.0,0.0
Draven,1.0,0.0,0.0,0.0,0.0
Ezreal,2.449489742783178,0.0,0.0,0.0,0.0
Gangplank,0.0,0.0,0.0,0.0,2.449489742783178
Gnar,0.0,0.0,0.0,0.0,2.0
Gragas,0.0,0.0,0.0,0.0,2.6457513110645907
Graves,0.0,2.449489742783178,0.0,0.0,2.8284271247461903
Gwen,0.0,0.0,0.0,0.0,3.4641016151377544
Hecarim,0.0,2.449489742783178,0.0,0.0,0.0
Jarvan IV,0.0,1.7320508075688772,0.0,0.0,0.0
Jax,0.0,0.0,0.0,0.0,1.7320508075688772
Jayce,0.0,0.0,0.0,0.0,2.23606797749979
Jhin,1.4142135623730951,0.0,0.0,0.0,0.0
Jinx,3.872983346207417,0.0,0.0,0.0,0.0
Kai'Sa,1.7320508075688772,0.0,0.0,0.0,0.0
Kalista,1.7320508075688772,0.0,0.0,0.0,0.0
Karma,0.0,0.0,0.0,2.449489742783178,0.0
LeBlanc,0.0,0.0,2.449489742783178,0.0,0.0
Lee Sin,0.0,3.4641016151377544,0.0,0.0,0.0
Leona,0.0,0.0,0.0,3.3166247903554,0.0
Lissandra,0.0,0.0,1.0,0.0,0.0
Lucian,2.449489742783178,0.0,0.0,0.0,0.0
Lulu,0.0,0.0,0.0,2.0,0.0
Nami,0.0,0.0,0.0,2.23606797749979,0.0
Nautilus,0.0,0.0,0.0,3.872983346207417,0.0
Orianna,0.0,0.0,2.23606797749979,0.0,0.0
Ornn,0.0,0.0,0.0,0.0,3.872983346207417
Poppy,0.0,2.8284271247461903,0.0,0.0,0.0
Rakan,0.0,0.0,0.0,2.8284271247461903,0.0
Renata Glasc,0.0,0.0,0.0,3.0,0.0
Renekton,0.0,0.0,1.0,0.0,1.7320508075688772
Ryze,0.0,0.0,1.7320508075688772,0.0,0.0
Senna,0.0,0.0,0.0,1.0,0.0
Seraphine,1.0,0.0,1.4142135623730951,1.0,0.0
Sivir,3.1622776601683795,0.0,0.0,0.0,0.0
Sylas,0.0,0.0,3.0,0.0,0.0
Tahm Kench,0.0,0.0,0.0,2.8284271247461903,1.0
Taliyah,0.0,0.0,2.23606797749979,0.0,0.0
Thresh,0.0,0.0,0.0,2.0,0.0
Trundle,0.0,2.6457513110645907,0.0,0.0,0.0
Tryndamere,0.0,0.0,0.0,0.0,1.7320508075688772
Twisted Fate,0.0,0.0,3.0,0.0,0.0
Vex,0.0,0.0,1.4142135623730951,0.0,0.0
Vi,0.0,2.0,0.0,0.0,0.0
Viego,0.0,4.58257569495584,0.0,0.0,0.0
Viktor,0.0,0.0,3.4641016151377544,0.0,0.0
Volibear,0.0,1.4142135623730951,0.0,0.0,0.0
Wukong,0.0,3.7416573867739413,0.0,0.0,0.0
Xayah,2.449489742783178,0.0,0.0,0.0,0.0
Xin Zhao,0.0,3.0,0.0,0.0,0.0
Yuumi,0.0,0.0,0.0,2.449489742783178,0.0
Zeri,3.3166247903554,0.0,0.0,0.0,0.0
Zoe,0.0,0.0,1.4142135623730951,0.0,0.0
