champion,bot,jng,mid,sup,top
Aatrox,0.0,0.0,0.0,0.0,0.009347614410905553
Ahri,0.0,0.0,0.02987125392188684,0.0,0.0
Akali,0.0,0.0,0.02530563669804177,0.0,0.0
Alistar,0.0,0.0,0.0,0.0042626852753435045,0.0
Amumu,0.0,0.0,0.0,0.0035378123985718934,0.0
Aphelios,0.013556204695445207,0.0,0.0,0.0,0.0
Azir,0.0,0.0,0.019723033647084286,0.0,0.0
Braum,0.0,0.0,0.0,0.006134371957156769,0.0
Corki,0.0,0.0,0.02121605539327059,0.0,0.0
Diana,0.0,0.01606621226874392,0.0,0.0,0.0
Draven,0.012679865844422811,0.0,0.0,0.0,0.0
Ezreal,0.006978253813696853,0.0,0.0,0.0,0.0
Gangplank,0.0,0.0,0.0,0.0,0.021335064373039066
Gnar,0.0,0.0,0.0,0.0,0.015882289300010823
Gragas,0.0,0.0,0.0,0.0,0.00443578924591583
Graves,0.0,0.011868440982365037,0.0,0.0,0.011868440982365037
Gwen,0.0,0.0,0.0,0.0,0.045266688304662996
Hecarim,0.0,0.01775397598182409,0.0,0.0,0.0
Jarvan IV,0.0,0.011890078978686578,0.0,0.0,0.0
Jax,0.0,0.0,0.0,0.0,0.010050849291355624
Jayce,0.0,0.0,0.0,0.0,0.017202207075624802
Jhin,0.003040138483176459,0.0,0.0,0.0,0.0
Jinx,0.01919290273720654,0.0,0.0,0.0,0.0
Kai'Sa,0.00479281618522125,0.0,0.0,0.0,0.0
Kalista,0.02769663529157201,0.0,0.0,0.0,0.0
Karma,0.0,0.0,0.0,0.021529806339932928,0.0
LeBlanc,0.0,0.0,0.030671859785783847,0.0,0.0
Lee Sin,0.0,0.02227631721302608,0.0,0.0,0.0
Leona,0.0,0.0,0.0,0.010970464135021101,0.0
Lissandra,0.0,0.0,0.007151357784269179,0.0,0.0
Lucian,0.028854268094774434,0.0,0.0,0.0,0.0
Lulu,0.0,0.0,0.0,0.013036892783728231,0.0
Nami,0.0,0.0,0.0,0.0009412528399870175,0.0
Nautilus,0.0,0.0,0.0,0.021410797360164456,0.0
Orianna,0.0,0.0,0.005506870063832091,0.0,0.0
Ornn,0.0,0.0,0.0,0.0,0.012452666883046635
Poppy,0.0,0.015979660283457757,0.0,0.0,0.0
Rakan,0.0,0.0,0.0,0.011803526993400416,0.0
Renata Glasc,0.0,0.0,0.0,0.022362869198312242,0.0
Renekton,0.0,0.0,0.01578491831656389,0.0,0.01578491831656389
Ryze,0.0,0.0,0.01846802986043493,0.0,0.0
Senna,0.0,0.0,0.0,0.0178946229579141,0.0
Seraphine,0.01672617115655091,0.0,0.01672617115655091,0.01672617115655091,0.0
Sivir,0.005625879043600564,0.0,0.0,0.0,0.0
Sylas,0.0,0.0,0.022698258141296123,0.0,0.0
Tahm Kench,0.0,0.0,0.0,0.011738613004435792,0.011738613004435792
Taliyah,0.0,0.0,0.021778643297630646,0.0,0.0
Thresh,0.0,0.0,0.0,0.01437844855566375,0.0
Trundle,0.0,0.014984312452666888,0.0,0.0,0.0
Tryndamere,0.0,0.0,0.0,0.0,0.017418587038840208
Twisted Fate,0.0,0.0,0.01816509791193336,0.0,0.0
Vex,0.0,0.0,0.013437195715676732,0.0,0.0
Vi,0.0,0.004576436222005844,0.0,0.0,0.0
Viego,0.0,0.018749323812614956,0.0,0.0,0.0
Viktor,0.0,0.0,0.014194525586930655,0.0,0.0
Volibear,0.0,0.014194525586930655,0.0,0.0,0.0
Wukong,0.0,0.028021205236395116,0.0,0.0,0.0
Xayah,0.00615600995347831,0.0,0.0,0.0,0.0
Xin Zhao,0.0,0.018889970788704972,0.0,0.0,0.0
Yuumi,0.0,0.0,0.0,0.023185113058530788,0.0
Zeri,0.050167694471491955,0.0,0.0,0.0,0.0
Zoe,0.0,0.0,0.008730931515741646,0.0,0.0
