champion,bot,jng,mid,sup,top
Aatrox,0.0,0.0,0.0,0.0,0.011994002998500753
Ahri,0.0,0.0,0.03148425787106448,0.0,0.0
Akali,0.0,0.0,0.005997001499250376,0.0,0.0
Alistar,0.0,0.0,0.0,0.010494752623688158,0.0
Amumu,0.0,0.0,0.0,0.00749625187406297,0.0
Aphelios,0.05697151424287858,0.0,0.0,0.0,0.0
Azir,0.0,0.0,0.013493253373313346,0.0,0.0
Braum,0.0,0.0,0.0,0.010494752623688158,0.0
Corki,0.0,0.0,0.017991004497751126,0.0,0.0
Diana,0.0,0.001499250374812594,0.0,0.0,0.0
Draven,0.0,0.0,0.0,0.0,0.0
Ezreal,0.013493253373313346,0.0,0.0,0.0,0.0
Gangplank,0.0,0.0,0.0,0.0,0.020989505247376316
Gnar,0.0,0.0,0.0,0.0,0.03298350824587707
Gragas,0.0,0.0,0.0,0.0,0.011994002998500753
Graves,0.0,0.016491754122938535,0.0,0.0,0.016491754122938535
Gwen,0.0,0.0,0.0,0.0,0.05097451274362819
Hecarim,0.0,0.008995502248875563,0.0,0.0,0.0
Jarvan IV,0.0,0.008995502248875563,0.0,0.0,0.0
Jax,0.0,0.0,0.0,0.0,0.02848575712143929
Jayce,0.0,0.0,0.0,0.0,0.008995502248875563
Jhin,0.002998500749625188,0.0,0.0,0.0,0.0
Jinx,0.03298350824587707,0.0,0.0,0.0,0.0
Kai'Sa,0.011994002998500753,0.0,0.0,0.0,0.0
Kalista,0.00749625187406297,0.0,0.0,0.0,0.0
Karma,0.0,0.0,0.0,0.008995502248875563,0.0
LeBlanc,0.0,0.0,0.02248875562218891,0.0,0.0
Lee Sin,0.0,0.02698650674662669,0.0,0.0,0.0
Leona,0.0,0.0,0.0,0.03748125937031485,0.0
Lissandra,0.0,0.0,0.025487256371814097,0.0,0.0
Lucian,0.01499250374812594,0.0,0.0,0.0,0.0
Lulu,0.0,0.0,0.0,0.011994002998500753,0.0
Nami,0.0,0.0,0.0,0.013493253373313346,0.0
Nautilus,0.0,0.0,0.0,0.06296851574212896,0.0
Orianna,0.0,0.0,0.008995502248875563,0.0,0.0
Ornn,0.0,0.0,0.0,0.0,0.001499250374812594
Poppy,0.0,0.008995502248875563,0.0,0.0,0.0
Rakan,0.0,0.0,0.0,0.010494752623688158,0.0
Renata Glasc,0.0,0.0,0.0,0.002998500749625188,0.0
Renekton,0.0,0.0,0.001499250374812594,0.0,0.001499250374812594
Ryze,0.0,0.0,0.00749625187406297,0.0,0.0
Senna,0.0,0.0,0.0,0.00749625187406297,0.0
Seraphine,0.0,0.0,0.0,0.0,0.0
Sivir,0.013493253373313346,0.0,0.0,0.0,0.0
Sylas,0.0,0.0,0.005997001499250376,0.0,0.0
Tahm Kench,0.0,0.0,0.0,0.01949025487256372,0.01949025487256372
Taliyah,0.0,0.0,0.020989505247376316,0.0,0.0
Thresh,0.0,0.0,0.0,0.004497751124437782,0.0
Trundle,0.0,0.008995502248875563,0.0,0.0,0.0
Tryndamere,0.0,0.0,0.0,0.0,0.001499250374812594
Twisted Fate,0.0,0.0,0.01499250374812594,0.0,0.0
Vex,0.0,0.0,0.016491754122938535,0.0,0.0
Vi,0.0,0.01949025487256372,0.0,0.0,0.0
Viego,0.0,0.05697151424287858,0.0,0.0,0.0
Viktor,0.0,0.0,0.00749625187406297,0.0,0.0
Volibear,0.0,0.01499250374812594,0.0,0.0,0.0
Wukong,0.0,0.023988005997001505,0.0,0.0,0.0
Xayah,0.016491754122938535,0.0,0.0,0.0,0.0
Xin Zhao,0.0,0.020989505247376316,0.0,0.0,0.0
Yuumi,0.0,0.0,0.0,0.004497751124437782,0.0
Zeri,0.025487256371814097,0.0,0.0,0.0,0.0
Zoe,0.0,0.0,0.002998500749625188,0.0,0.0
