champion,bot,jng,mid,sup,top
Ahri,0.0,0.0,1.4142135623730951,0.0,0.0
Akali,0.0,0.0,1.0,0.0,0.0
Alistar,0.0,0.0,0.0,1.0,0.0
Aphelios,2.23606797749979,0.0,0.0,0.0,0.0
Ashe,1.0,0.0,0.0,0.0,0.0
Bard,0.0,0.0,0.0,1.4142135623730951,0.0
Bel'Veth,0.0,1.0,0.0,0.0,0.0
Braum,0.0,0.0,0.0,1.0,0.0
Camille,0.0,0.0,0.0,0.0,1.0
Corki,0.0,0.0,1.4142135623730951,0.0,0.0
Draven,1.0,0.0,0.0,0.0,0.0
Ezreal,1.0,0.0,0.0,0.0,0.0
Galio,0.0,0.0,0.0,1.0,0.0
Gangplank,0.0,0.0,0.0,0.0,2.0
Gnar,0.0,0.0,0.0,0.0,1.7320508075688772
Gragas,0.0,0.0,0.0,0.0,1.0
Graves,0.0,0.0,0.0,0.0,2.6457513110645907
Gwen,0.0,0.0,0.0,0.0,1.4142135623730951
Hecarim,0.0,1.0,0.0,0.0,0.0
Irelia,0.0,0.0,1.0,0.0,0.0
Jarvan IV,0.0,2.23606797749979,0.0,0.0,0.0
Jayce,0.0,0.0,0.0,0.0,1.4142135623730951
Jhin,1.7320508075688772,0.0,0.0,0.0,0.0
Jinx,2.449489742783178,0.0,0.0,0.0,0.0
Karma,0.0,0.0,1.0,1.0,0.0
Kennen,0.0,0.0,0.0,0.0,2.0
Lee Sin,0.0,0.0,0.0,0.0,1.0
Leona,0.0,0.0,0.0,2.8284271247461903,0.0
Lillia,0.0,1.0,0.0,0.0,0.0
Lucian,1.0,0.0,0.0,0.0,0.0
Nami,0.0,0.0,0.0,1.0,0.0
Nautilus,0.0,0.0,0.0,1.4142135623730951,0.0
Orianna,0.0,0.0,2.449489742783178,0.0,0.0
Ornn,0.0,0.0,0.0,0.0,2.449489742783178
Poppy,0.0,1.0,0.0,0.0,1.0
Pyke,0.0,0.0,0.0,1.7320508075688772,0.0
Rakan,0.0,0.0,0.0,2.8284271247461903,0.0
Renata Glasc,0.0,0.0,0.0,1.0,0.0
Renekton,0.0,0.0,0.0,0.0,1.0
Ryze,0.0,0.0,2.0,0.0,0.0
Senna,1.0,0.0,0.0,0.0,0.0
Seraphine,1.0,0.0,0.0,0.0,0.0
Shyvana,0.0,0.0,0.0,0.0,1.0
Sion,0.0,0.0,0.0,0.0,1.4142135623730951
Sivir,1.0,0.0,0.0,0.0,0.0
Soraka,0.0,0.0,0.0,1.0,0.0
Sylas,0.0,0.0,1.7320508075688772,0.0,0.0
Tahm Kench,0.0,0.0,0.0,2.0,0.0
Thresh,0.0,0.0,0.0,1.4142135623730951,0.0
Trundle,0.0,2.8284271247461903,0.0,0.0,0.0
Twisted Fate,0.0,0.0,1.0,0.0,0.0
Twitch,1.7320508075688772,0.0,0.0,0.0,0.0
Veigar,1.0,0.0,0.0,0.0,0.0
Vex,0.0,0.0,3.1622776601683795,0.0,0.0
Viego,0.0,3.0,0.0,0.0,0.0
Viktor,0.0,0.0,1.7320508075688772,0.0,0.0
Volibear,0.0,1.4142135623730951,0.0,0.0,0.0
Wukong,0.0,2.449489742783178,0.0,0.0,0.0
Xayah,2.23606797749979,0.0,0.0,0.0,0.0
Xin Zhao,0.0,1.4142135623730951,0.0,0.0,0.0
Yone,0.0,0.0,1.4142135623730951,0.0,0.0
Zeri,2.449489742783178,0.0,0.0,0.0,0.0
