champion,bot,jng,mid,sup,top
Ahri,0.0,0.0,1.0,0.0,1.4142135623730951
Akali,0.0,0.0,1.0,0.0,2.23606797749979
Akshan,0.0,0.0,1.0,0.0,0.0
Alistar,0.0,0.0,0.0,1.0,0.0
Anivia,0.0,0.0,1.0,0.0,0.0
Aphelios,3.3166247903554,0.0,0.0,0.0,0.0
Ashe,1.4142135623730951,0.0,0.0,0.0,0.0
Azir,0.0,0.0,3.0,0.0,0.0
Bel'Veth,0.0,1.0,0.0,0.0,0.0
Braum,0.0,0.0,0.0,2.23606797749979,0.0
Camille,0.0,0.0,0.0,0.0,1.4142135623730951
Cho'Gath,0.0,0.0,0.0,0.0,1.7320508075688772
Corki,0.0,0.0,2.6457513110645907,0.0,0.0
Diana,0.0,1.0,0.0,0.0,0.0
Ezreal,2.23606797749979,0.0,1.0,0.0,0.0
Gangplank,0.0,0.0,1.4142135623730951,0.0,1.7320508075688772
Gnar,0.0,0.0,0.0,0.0,2.0
Gragas,0.0,0.0,0.0,0.0,2.23606797749979
Graves,0.0,0.0,0.0,0.0,1.0
Gwen,0.0,1.7320508075688772,0.0,0.0,3.1622776601683795
Hecarim,0.0,1.0,0.0,0.0,0.0
Irelia,0.0,0.0,2.0,0.0,1.4142135623730951
Ivern,0.0,0.0,1.4142135623730951,0.0,0.0
Jarvan IV,0.0,1.7320508075688772,0.0,0.0,0.0
Jayce,0.0,0.0,1.4142135623730951,0.0,1.7320508075688772
Jhin,1.4142135623730951,0.0,0.0,0.0,0.0
Jinx,3.0,0.0,0.0,0.0,0.0
Kai'Sa,1.7320508075688772,0.0,0.0,0.0,0.0
Karma,0.0,0.0,1.0,1.7320508075688772,2.449489742783178
Karthus,0.0,1.0,1.4142135623730951,0.0,0.0
Kayle,0.0,0.0,0.0,0.0,1.0
Kennen,0.0,0.0,0.0,0.0,1.0
Kog'Maw,1.0,0.0,0.0,0.0,0.0
LeBlanc,0.0,0.0,1.4142135623730951,0.0,0.0
Lee Sin,0.0,2.0,0.0,0.0,0.0
Leona,0.0,0.0,0.0,3.1622776601683795,0.0
Lissandra,0.0,0.0,1.4142135623730951,0.0,0.0
Lucian,0.0,0.0,1.0,0.0,1.0
Lulu,0.0,0.0,0.0,1.4142135623730951,1.0
Malphite,0.0,0.0,0.0,0.0,1.7320508075688772
Miss Fortune,1.0,0.0,0.0,0.0,0.0
Nasus,1.4142135623730951,0.0,1.0,0.0,0.0
Nautilus,0.0,0.0,0.0,3.605551275463989,0.0
Ornn,0.0,0.0,1.7320508075688772,0.0,2.23606797749979
Poppy,0.0,1.7320508075688772,0.0,0.0,1.0
Pyke,0.0,0.0,0.0,1.0,0.0
Rakan,0.0,0.0,0.0,3.4641016151377544,0.0
Rell,0.0,0.0,0.0,1.0,0.0
Renata Glasc,0.0,0.0,0.0,1.7320508075688772,0.0
Renekton,1.0,0.0,0.0,0.0,0.0
Samira,1.0,0.0,0.0,0.0,0.0
Sejuani,0.0,0.0,0.0,0.0,2.6457513110645907
Senna,1.7320508075688772,0.0,0.0,3.3166247903554,0.0
Seraphine,2.0,0.0,1.7320508075688772,0.0,0.0
Sion,1.4142135623730951,0.0,0.0,0.0,0.0
Sivir,1.0,0.0,0.0,0.0,0.0
Sona,0.0,0.0,0.0,1.4142135623730951,0.0
Soraka,1.4142135623730951,0.0,0.0,0.0,0.0
Swain,0.0,0.0,1.0,0.0,0.0
Sylas,1.0,0.0,2.6457513110645907,0.0,0.0
Syndra,0.0,0.0,1.0,0.0,0.0
Tahm Kench,0.0,0.0,0.0,1.4142135623730951,0.0
Thresh,0.0,0.0,0.0,1.4142135623730951,0.0
Tristana,1.0,0.0,0.0,0.0,0.0
Trundle,0.0,2.6457513110645907,0.0,0.0,0.0
Tryndamere,0.0,0.0,1.7320508075688772,0.0,0.0
Twitch,2.23606797749979,0.0,0.0,0.0,0.0
Udyr,0.0,1.4142135623730951,0.0,0.0,0.0
Varus,1.7320508075688772,0.0,0.0,0.0,0.0
Vayne,1.0,0.0,0.0,0.0,0.0
Veigar,0.0,0.0,1.7320508075688772,0.0,0.0
Vel'Koz,0.0,0.0,1.0,0.0,0.0
Vi,0.0,1.0,0.0,0.0,0.0
Viego,0.0,3.605551275463989,0.0,0.0,0.0
Viktor,0.0,0.0,2.23606797749979,0.0,0.0
Wukong,0.0,3.4641016151377544,0.0,0.0,0.0
Xayah,1.0,0.0,0.0,0.0,0.0
Xerath,1.7320508075688772,0.0,1.0,0.0,0.0
Xin Zhao,0.0,4.58257569495584,0.0,0.0,0.0
Yasuo,1.7320508075688772,0.0,1.4142135623730951,0.0,0.0
Yone,0.0,0.0,0.0,0.0,1.4142135623730951
Yuumi,0.0,0.0,0.0,1.7320508075688772,0.0
Zed,0.0,0.0,1.0,0.0,0.0
Zeri,1.7320508075688772,0.0,0.0,0.0,2.23606797749979
Ziggs,1.4142135623730951,0.0,1.0,0.0,0.0
Zilean,0.0,0.0,1.0,1.4142135623730951,0.0
