champion,bot,jng,mid,sup,top
Ahri,0.0,0.0,3.0,0.0,0.0
Akali,0.0,0.0,1.0,0.0,0.0
Akshan,0.0,0.0,0.0,0.0,1.0
Aphelios,2.6457513110645907,0.0,0.0,0.0,0.0
Ashe,0.0,0.0,0.0,1.0,0.0
Azir,0.0,0.0,1.7320508075688772,0.0,0.0
Bard,0.0,0.0,0.0,1.4142135623730951,0.0
Braum,0.0,0.0,0.0,1.4142135623730951,0.0
Caitlyn,1.4142135623730951,0.0,0.0,0.0,0.0
Camille,0.0,0.0,0.0,0.0,1.4142135623730951
Corki,0.0,0.0,1.7320508075688772,0.0,0.0
Ezreal,2.6457513110645907,0.0,1.0,0.0,0.0
Galio,0.0,0.0,1.0,0.0,0.0
Gangplank,0.0,0.0,0.0,0.0,1.7320508075688772
Gnar,0.0,0.0,0.0,0.0,3.0
Gragas,0.0,0.0,0.0,1.4142135623730951,1.0
Gwen,0.0,0.0,0.0,0.0,2.0
Hecarim,0.0,2.449489742783178,0.0,0.0,0.0
Irelia,0.0,0.0,0.0,0.0,1.0
Janna,0.0,0.0,0.0,1.0,0.0
Jarvan IV,0.0,2.23606797749979,0.0,0.0,0.0
Jax,0.0,0.0,0.0,0.0,1.0
Jayce,0.0,0.0,0.0,0.0,1.4142135623730951
Jinx,2.8284271247461903,0.0,0.0,0.0,0.0
Kai'Sa,2.449489742783178,0.0,1.4142135623730951,0.0,0.0
Kalista,2.0,0.0,0.0,0.0,0.0
Kassadin,0.0,0.0,1.0,0.0,0.0
Kayle,0.0,0.0,0.0,0.0,1.7320508075688772
Kog'Maw,0.0,0.0,1.0,0.0,0.0
Lee Sin,0.0,1.7320508075688772,0.0,0.0,0.0
Leona,0.0,0.0,0.0,1.7320508075688772,0.0
Lissandra,0.0,0.0,1.0,0.0,0.0
Lux,0.0,0.0,0.0,1.0,0.0
Malphite,0.0,0.0,0.0,0.0,1.0
Nautilus,0.0,0.0,0.0,2.0,0.0
Olaf,0.0,1.0,0.0,0.0,0.0
Orianna,0.0,0.0,1.4142135623730951,0.0,0.0
Ornn,0.0,0.0,0.0,0.0,2.449489742783178
Poppy,0.0,2.449489742783178,0.0,0.0,0.0
Pyke,0.0,0.0,0.0,1.0,0.0
Rell,0.0,0.0,0.0,1.0,0.0
Renata Glasc,0.0,0.0,0.0,2.8284271247461903,0.0
Renekton,0.0,0.0,0.0,0.0,1.0
Ryze,0.0,0.0,1.0,0.0,0.0
Sejuani,0.0,0.0,0.0,0.0,1.4142135623730951
Senna,1.0,0.0,0.0,1.0,0.0
Sett,0.0,0.0,0.0,0.0,1.0
Shyvana,0.0,0.0,0.0,0.0,1.4142135623730951
Sion,0.0,0.0,0.0,0.0,1.0
Sivir,1.4142135623730951,0.0,0.0,0.0,0.0
Sylas,0.0,0.0,2.449489742783178,0.0,0.0
Syndra,0.0,0.0,1.4142135623730951,0.0,0.0
Tahm Kench,0.0,0.0,0.0,2.8284271247461903,0.0
Taliyah,0.0,0.0,1.4142135623730951,0.0,0.0
Thresh,0.0,0.0,0.0,2.0,0.0
Trundle,0.0,2.0,0.0,0.0,0.0
Tryndamere,0.0,0.0,0.0,0.0,1.0
Twisted Fate,0.0,0.0,1.0,0.0,0.0
Urgot,0.0,0.0,0.0,0.0,1.0
Veigar,0.0,0.0,1.0,0.0,0.0
Vex,0.0,0.0,1.7320508075688772,0.0,0.0
Viego,0.0,2.6457513110645907,0.0,0.0,0.0
Viktor,0.0,0.0,1.4142135623730951,0.0,0.0
Volibear,0.0,2.0,0.0,0.0,0.0
Wukong,0.0,2.6457513110645907,0.0,0.0,0.0
Xayah,1.0,0.0,0.0,0.0,0.0
Xin Zhao,0.0,1.4142135623730951,0.0,0.0,0.0
Yasuo,1.0,0.0,0.0,0.0,0.0
Yone,0.0,0.0,1.4142135623730951,0.0,0.0
Yuumi,0.0,0.0,0.0,2.0,0.0
Zac,0.0,0.0,0.0,0.0,1.4142135623730951
Zeri,2.449489742783178,0.0,0.0,0.0,0.0
Zilean,0.0,0.0,0.0,1.4142135623730951,0.0
