,teamname,Champion,bot,jng,mid,sup,top
357,G2 Esports,Aatrox,0.0,0.0,0.0,0.0,2.236067977
358,G2 Esports,Ahri,0.0,0.0,3.605551275,0.0,0.0
359,G2 Esports,Akali,0.0,0.0,0.0,0.0,1.414213562
360,G2 Esports,Akshan,0.0,0.0,0.0,0.0,2.0
361,G2 Esports,Alistar,0.0,0.0,0.0,1.0,0.0
362,G2 Esports,Amumu,0.0,0.0,0.0,0.0,0.0
363,G2 Esports,Aphelios,3.16227766,0.0,0.0,0.0,0.0
364,G2 Esports,Ashe,0.0,0.0,0.0,1.0,0.0
365,G2 Esports,Azir,0.0,0.0,2.0,0.0,0.0
366,G2 Esports,Bard,0.0,0.0,0.0,1.0,0.0
367,G2 Esports,Bel'Veth,0.0,0.0,0.0,0.0,0.0
368,G2 Esports,Blitzcrank,0.0,0.0,0.0,0.0,0.0
369,G2 Esports,Braum,0.0,0.0,0.0,2.0,0.0
370,G2 Esports,Caitlyn,1.0,0.0,0.0,0.0,0.0
371,G2 Esports,Camille,0.0,0.0,0.0,0.0,1.414213562
372,G2 Esports,Cassiopeia,0.0,0.0,1.0,0.0,0.0
373,G2 Esports,Corki,0.0,0.0,2.0,0.0,1.0
374,G2 Esports,Darius,0.0,0.0,0.0,0.0,0.0
375,G2 Esports,Diana,0.0,1.414213562,0.0,0.0,0.0
376,G2 Esports,Draven,2.236067977,0.0,0.0,0.0,0.0
377,G2 Esports,Ezreal,1.0,0.0,0.0,0.0,0.0
378,G2 Esports,Fiora,0.0,0.0,0.0,0.0,1.0
379,G2 Esports,Galio,0.0,0.0,0.0,0.0,0.0
380,G2 Esports,Gangplank,0.0,0.0,0.0,0.0,2.0
381,G2 Esports,Gnar,0.0,0.0,0.0,0.0,2.449489743
382,G2 Esports,Gragas,0.0,0.0,0.0,0.0,1.0
383,G2 Esports,Graves,0.0,0.0,0.0,0.0,1.0
384,G2 Esports,Gwen,0.0,1.0,0.0,0.0,2.828427125
385,G2 Esports,Hecarim,0.0,1.414213562,0.0,0.0,0.0
386,G2 Esports,Irelia,0.0,0.0,0.0,0.0,1.414213562
387,G2 Esports,Janna,0.0,0.0,0.0,0.0,0.0
388,G2 Esports,Jarvan IV,0.0,3.464101615,0.0,0.0,0.0
389,G2 Esports,Jax,0.0,0.0,0.0,0.0,1.414213562
390,G2 Esports,Jayce,0.0,0.0,0.0,0.0,1.414213562
391,G2 Esports,Jhin,1.732050808,0.0,0.0,0.0,0.0
392,G2 Esports,Jinx,3.0,0.0,0.0,0.0,0.0
393,G2 Esports,Kai'Sa,1.0,0.0,0.0,0.0,0.0
394,G2 Esports,Kalista,1.0,0.0,0.0,0.0,0.0
395,G2 Esports,Karma,0.0,0.0,1.0,1.414213562,0.0
396,G2 Esports,Karthus,0.0,0.0,0.0,0.0,0.0
397,G2 Esports,Kassadin,0.0,0.0,1.0,0.0,0.0
398,G2 Esports,Kayle,0.0,0.0,0.0,0.0,1.0
399,G2 Esports,Kennen,0.0,0.0,0.0,0.0,0.0
400,G2 Esports,Kled,0.0,0.0,0.0,0.0,0.0
401,G2 Esports,Kog'Maw,0.0,0.0,0.0,0.0,0.0
402,G2 Esports,LeBlanc,0.0,0.0,1.414213562,0.0,0.0
403,G2 Esports,Lee Sin,0.0,2.236067977,0.0,0.0,0.0
404,G2 Esports,Leona,0.0,0.0,0.0,1.0,0.0
405,G2 Esports,Lillia,0.0,0.0,0.0,0.0,0.0
406,G2 Esports,Lissandra,0.0,0.0,2.236067977,0.0,0.0
407,G2 Esports,Lucian,2.0,0.0,0.0,0.0,0.0
408,G2 Esports,Lulu,0.0,0.0,0.0,2.645751311,0.0
409,G2 Esports,Lux,0.0,0.0,0.0,0.0,0.0
410,G2 Esports,Malphite,0.0,0.0,0.0,0.0,0.0
411,G2 Esports,Malzahar,0.0,0.0,0.0,0.0,0.0
412,G2 Esports,Miss Fortune,1.0,0.0,0.0,0.0,0.0
413,G2 Esports,Mordekaiser,0.0,0.0,0.0,0.0,0.0
414,G2 Esports,Morgana,0.0,0.0,0.0,0.0,0.0
415,G2 Esports,Nami,0.0,0.0,0.0,1.732050808,0.0
416,G2 Esports,Nautilus,0.0,0.0,0.0,2.236067977,0.0
