champion,bot,jng,mid,sup,top
Aatrox,0.0,0.0,0.0,0.0,1.0
Ahri,0.0,0.0,2.8284271247461903,0.0,0.0
Akali,0.0,0.0,2.6457513110645907,0.0,0.0
Akshan,0.0,0.0,1.0,0.0,1.4142135623730951
Alistar,0.0,0.0,0.0,1.4142135623730951,0.0
Aphelios,4.0,0.0,0.0,0.0,0.0
Ashe,1.0,0.0,0.0,0.0,0.0
Azir,0.0,0.0,3.3166247903554,0.0,0.0
Blitzcrank,0.0,0.0,0.0,1.7320508075688772,0.0
Braum,0.0,0.0,0.0,1.0,0.0
Caitlyn,1.7320508075688772,0.0,0.0,0.0,0.0
Camille,0.0,0.0,0.0,0.0,2.449489742783178
Corki,0.0,0.0,2.0,0.0,0.0
Diana,0.0,2.449489742783178,0.0,0.0,0.0
Draven,2.0,0.0,0.0,0.0,0.0
Elise,0.0,1.0,0.0,0.0,0.0
Ezreal,1.4142135623730951,0.0,0.0,0.0,0.0
Galio,0.0,0.0,0.0,1.0,0.0
Gangplank,0.0,0.0,0.0,0.0,3.7416573867739413
Gnar,0.0,0.0,0.0,0.0,3.1622776601683795
Gragas,0.0,0.0,0.0,1.0,0.0
Gwen,0.0,1.0,0.0,0.0,2.8284271247461903
Hecarim,0.0,1.7320508075688772,0.0,0.0,0.0
Irelia,0.0,0.0,0.0,0.0,1.4142135623730951
Janna,0.0,0.0,0.0,0.0,1.0
Jarvan IV,0.0,2.6457513110645907,0.0,0.0,0.0
Jhin,2.6457513110645907,0.0,0.0,0.0,0.0
Jinx,2.449489742783178,0.0,0.0,0.0,0.0
Kai'Sa,2.0,0.0,0.0,0.0,0.0
Kalista,1.0,0.0,0.0,0.0,0.0
Karma,0.0,0.0,0.0,1.0,0.0
Kennen,0.0,0.0,0.0,0.0,1.0
LeBlanc,0.0,0.0,1.7320508075688772,0.0,0.0
Lee Sin,0.0,3.1622776601683795,0.0,0.0,0.0
Leona,0.0,0.0,0.0,2.449489742783178,0.0
Lillia,0.0,0.0,0.0,0.0,1.4142135623730951
Lucian,1.0,0.0,2.0,0.0,0.0
Lulu,0.0,0.0,0.0,2.0,0.0
Lux,0.0,0.0,0.0,1.7320508075688772,0.0
Miss Fortune,1.4142135623730951,0.0,0.0,0.0,0.0
Nami,0.0,0.0,0.0,1.0,0.0
Nautilus,0.0,0.0,0.0,3.7416573867739413,0.0
Nidalee,0.0,2.0,0.0,0.0,0.0
Nilah,1.0,0.0,0.0,0.0,0.0
Ornn,0.0,0.0,0.0,0.0,1.7320508075688772
Poppy,0.0,1.7320508075688772,0.0,0.0,0.0
Pyke,0.0,0.0,0.0,2.23606797749979,0.0
Rakan,0.0,0.0,0.0,3.1622776601683795,0.0
Renata Glasc,0.0,0.0,0.0,1.0,0.0
Renekton,0.0,0.0,1.7320508075688772,0.0,2.449489742783178
Rumble,0.0,1.0,0.0,0.0,0.0
Ryze,0.0,0.0,2.449489742783178,0.0,0.0
Samira,1.4142135623730951,0.0,0.0,0.0,0.0
Sejuani,0.0,0.0,0.0,0.0,2.0
Sett,0.0,0.0,0.0,1.7320508075688772,1.0
Shen,0.0,0.0,0.0,0.0,1.0
Sion,0.0,0.0,0.0,0.0,1.0
Sivir,2.449489742783178,0.0,0.0,0.0,0.0
Soraka,0.0,0.0,0.0,1.0,0.0
Sylas,0.0,0.0,2.0,0.0,0.0
Syndra,1.7320508075688772,0.0,1.7320508075688772,0.0,0.0
Tahm Kench,0.0,0.0,0.0,2.23606797749979,0.0
Taliyah,0.0,0.0,1.4142135623730951,0.0,0.0
Talon,0.0,0.0,2.0,0.0,0.0
Thresh,0.0,0.0,0.0,1.4142135623730951,0.0
Tristana,1.4142135623730951,0.0,0.0,0.0,0.0
Trundle,0.0,3.1622776601683795,0.0,0.0,0.0
Tryndamere,0.0,0.0,0.0,0.0,3.0
Twisted Fate,0.0,0.0,1.0,0.0,0.0
Vex,0.0,0.0,1.4142135623730951,0.0,0.0
Vi,0.0,2.0,0.0,0.0,0.0
Viego,0.0,3.3166247903554,0.0,0.0,0.0
Viktor,0.0,0.0,2.6457513110645907,0.0,0.0
Volibear,0.0,2.8284271247461903,0.0,0.0,0.0
Xayah,1.4142135623730951,0.0,0.0,0.0,0.0
Yasuo,0.0,0.0,1.4142135623730951,0.0,0.0
Yuumi,0.0,0.0,0.0,2.8284271247461903,0.0
Zed,0.0,1.7320508075688772,0.0,0.0,0.0
Zeri,2.8284271247461903,0.0,0.0,0.0,0.0
Ziggs,1.0,0.0,0.0,0.0,0.0
