,teamname,Champion,bot,jng,mid,sup,top
476,MAD Lions,Aatrox,0.0,0.0,0.0,0.0,2.645751311
477,MAD Lions,Ahri,0.0,0.0,1.732050808,0.0,0.0
478,MAD Lions,Akali,0.0,0.0,0.0,0.0,1.0
479,MAD Lions,Akshan,0.0,0.0,0.0,0.0,0.0
480,MAD Lions,Alistar,0.0,0.0,0.0,1.414213562,0.0
481,MAD Lions,Amumu,0.0,0.0,0.0,0.0,0.0
482,MAD Lions,Aphelios,2.645751311,0.0,0.0,0.0,0.0
483,MAD Lions,Ashe,0.0,0.0,0.0,0.0,0.0
484,MAD Lions,Azir,0.0,0.0,0.0,0.0,0.0
485,MAD Lions,Bard,0.0,0.0,0.0,0.0,0.0
486,MAD Lions,Bel'Veth,0.0,0.0,0.0,0.0,0.0
487,MAD Lions,Blitzcrank,0.0,0.0,0.0,0.0,0.0
488,MAD Lions,Braum,0.0,0.0,0.0,1.0,0.0
489,MAD Lions,Caitlyn,0.0,0.0,0.0,0.0,0.0
490,MAD Lions,Camille,0.0,0.0,0.0,0.0,0.0
491,MAD Lions,Cassiopeia,0.0,0.0,1.0,0.0,0.0
492,MAD Lions,Corki,0.0,0.0,1.0,0.0,0.0
493,MAD Lions,Darius,0.0,0.0,0.0,0.0,0.0
494,MAD Lions,Diana,0.0,1.732050808,0.0,0.0,0.0
495,MAD Lions,Draven,1.732050808,0.0,0.0,0.0,0.0
496,MAD Lions,Ezreal,0.0,0.0,0.0,0.0,0.0
497,MAD Lions,Fiora,0.0,0.0,0.0,0.0,0.0
498,MAD Lions,Galio,0.0,0.0,0.0,0.0,0.0
499,MAD Lions,Gangplank,0.0,0.0,0.0,0.0,1.732050808
500,MAD Lions,Gnar,0.0,0.0,0.0,0.0,2.0
501,MAD Lions,Gragas,0.0,0.0,0.0,0.0,0.0
502,MAD Lions,Graves,0.0,0.0,0.0,0.0,1.732050808
503,MAD Lions,Gwen,0.0,1.0,0.0,0.0,2.645751311
504,MAD Lions,Hecarim,0.0,1.0,0.0,0.0,0.0
505,MAD Lions,Irelia,0.0,0.0,1.0,0.0,0.0
506,MAD Lions,Janna,0.0,0.0,0.0,0.0,0.0
507,MAD Lions,Jarvan IV,0.0,1.414213562,0.0,0.0,0.0
508,MAD Lions,Jax,0.0,0.0,0.0,0.0,1.0
509,MAD Lions,Jayce,0.0,0.0,0.0,0.0,1.732050808
510,MAD Lions,Jhin,1.414213562,0.0,0.0,0.0,0.0
511,MAD Lions,Jinx,3.0,0.0,0.0,0.0,0.0
