champion,bot,jng,mid,sup,top
Aatrox,0.0,0.0,0.0,0.0,3.3166247903554
Ahri,0.0,0.0,2.6457513110645907,0.0,0.0
Akshan,0.0,0.0,1.7320508075688772,0.0,1.0
Alistar,0.0,0.0,0.0,1.0,0.0
Amumu,0.0,0.0,0.0,1.7320508075688772,0.0
Ashe,1.0,0.0,0.0,0.0,0.0
Azir,0.0,0.0,1.0,0.0,0.0
Bel'Veth,0.0,1.0,0.0,0.0,0.0
Camille,0.0,0.0,0.0,0.0,2.449489742783178
Cassiopeia,0.0,0.0,1.0,0.0,0.0
Corki,0.0,0.0,2.0,0.0,0.0
Diana,0.0,1.0,0.0,0.0,0.0
Draven,1.4142135623730951,0.0,0.0,0.0,0.0
Ezreal,2.23606797749979,0.0,0.0,0.0,0.0
Galio,0.0,0.0,1.0,2.0,0.0
Gangplank,0.0,0.0,0.0,0.0,2.6457513110645907
Gnar,0.0,0.0,0.0,0.0,1.7320508075688772
Graves,0.0,1.0,0.0,0.0,1.7320508075688772
Gwen,0.0,1.0,0.0,0.0,2.0
Hecarim,0.0,2.6457513110645907,0.0,0.0,0.0
Jarvan IV,0.0,2.0,0.0,1.0,0.0
Jayce,0.0,0.0,0.0,0.0,1.4142135623730951
Jhin,1.4142135623730951,0.0,0.0,0.0,0.0
Jinx,2.449489742783178,0.0,0.0,0.0,0.0
Kai'Sa,2.23606797749979,0.0,0.0,0.0,0.0
Kalista,1.4142135623730951,0.0,0.0,0.0,0.0
Karma,0.0,0.0,1.4142135623730951,2.0,0.0
Kayle,0.0,0.0,0.0,0.0,1.0
Kog'Maw,1.0,0.0,0.0,0.0,0.0
Lee Sin,0.0,1.7320508075688772,0.0,0.0,0.0
Leona,0.0,0.0,0.0,2.8284271247461903,0.0
Lillia,0.0,1.0,0.0,0.0,0.0
Lissandra,0.0,0.0,2.449489742783178,0.0,0.0
Lulu,0.0,0.0,0.0,2.6457513110645907,0.0
Malphite,0.0,0.0,0.0,0.0,1.0
Maokai,0.0,0.0,0.0,1.4142135623730951,1.0
Miss Fortune,1.0,0.0,0.0,0.0,0.0
Nautilus,0.0,0.0,0.0,3.1622776601683795,0.0
Nilah,1.0,0.0,0.0,0.0,0.0
Olaf,0.0,1.0,0.0,0.0,0.0
Orianna,0.0,0.0,1.0,0.0,0.0
Ornn,0.0,0.0,0.0,0.0,1.0
Poppy,0.0,1.4142135623730951,0.0,0.0,0.0
Rakan,0.0,0.0,0.0,1.4142135623730951,0.0
Renata Glasc,0.0,0.0,0.0,1.7320508075688772,0.0
Renekton,0.0,0.0,0.0,0.0,1.7320508075688772
Samira,2.0,0.0,0.0,0.0,0.0
Sejuani,0.0,0.0,0.0,0.0,2.23606797749979
Senna,0.0,0.0,0.0,1.7320508075688772,0.0
Seraphine,2.0,0.0,1.0,0.0,0.0
Sett,0.0,0.0,0.0,0.0,1.0
Sion,0.0,0.0,0.0,0.0,1.4142135623730951
Sivir,1.7320508075688772,0.0,0.0,0.0,0.0
Soraka,0.0,0.0,0.0,1.0,0.0
Swain,1.4142135623730951,0.0,2.449489742783178,0.0,0.0
Sylas,0.0,0.0,1.0,0.0,0.0
Syndra,0.0,0.0,1.0,0.0,0.0
Taliyah,0.0,0.0,1.0,0.0,0.0
Taric,0.0,0.0,0.0,2.0,0.0
Tristana,0.0,0.0,1.0,0.0,0.0
Trundle,0.0,2.0,0.0,0.0,0.0
Twitch,1.7320508075688772,0.0,0.0,0.0,0.0
Udyr,0.0,1.4142135623730951,0.0,0.0,0.0
Varus,1.4142135623730951,0.0,0.0,0.0,0.0
Vayne,1.0,0.0,0.0,0.0,0.0
Vex,0.0,0.0,2.0,0.0,0.0
Vi,0.0,1.0,0.0,0.0,0.0
Viego,0.0,2.23606797749979,0.0,0.0,0.0
Viktor,0.0,0.0,3.3166247903554,0.0,0.0
Volibear,0.0,1.7320508075688772,0.0,0.0,0.0
Wukong,0.0,3.1622776601683795,0.0,0.0,1.4142135623730951
Xerath,1.0,0.0,1.0,0.0,0.0
Xin Zhao,0.0,2.6457513110645907,0.0,0.0,0.0
Zeri,2.0,0.0,0.0,0.0,0.0
Ziggs,2.0,0.0,0.0,0.0,0.0
Zilean,0.0,0.0,1.0,1.0,0.0
