,teamname,Champion,bot,jng,mid,sup,top
595,Misfits Gaming,Aatrox,0.0,0.0,0.0,0.0,1.0
596,Misfits Gaming,Ahri,0.0,0.0,2.0,0.0,0.0
597,Misfits Gaming,Akali,0.0,0.0,2.645751311,0.0,0.0
598,Misfits Gaming,Akshan,0.0,0.0,0.0,0.0,0.0
599,Misfits Gaming,Alistar,0.0,0.0,0.0,1.0,0.0
600,Misfits Gaming,Amumu,0.0,0.0,0.0,1.414213562,0.0
601,Misfits Gaming,Aphelios,2.828427125,0.0,0.0,0.0,0.0
602,Misfits Gaming,Ashe,0.0,0.0,0.0,0.0,0.0
603,Misfits Gaming,Azir,0.0,0.0,0.0,0.0,0.0
604,Misfits Gaming,Bard,0.0,0.0,0.0,0.0,0.0
605,Misfits Gaming,Bel'Veth,0.0,0.0,0.0,0.0,0.0
606,Misfits Gaming,Blitzcrank,0.0,0.0,0.0,0.0,0.0
607,Misfits Gaming,Braum,0.0,0.0,0.0,1.732050808,0.0
608,Misfits Gaming,Caitlyn,0.0,0.0,0.0,0.0,0.0
609,Misfits Gaming,Camille,0.0,0.0,0.0,0.0,2.449489743
610,Misfits Gaming,Cassiopeia,0.0,0.0,1.0,0.0,0.0
611,Misfits Gaming,Corki,0.0,0.0,2.449489743,0.0,0.0
612,Misfits Gaming,Darius,0.0,0.0,0.0,0.0,0.0
613,Misfits Gaming,Diana,0.0,1.414213562,0.0,0.0,0.0
614,Misfits Gaming,Draven,0.0,0.0,0.0,0.0,0.0
615,Misfits Gaming,Ezreal,1.0,0.0,0.0,0.0,0.0
616,Misfits Gaming,Fiora,0.0,0.0,0.0,0.0,1.0
617,Misfits Gaming,Galio,0.0,0.0,0.0,0.0,0.0
618,Misfits Gaming,Gangplank,0.0,0.0,0.0,0.0,0.0
619,Misfits Gaming,Gnar,0.0,0.0,0.0,0.0,3.16227766
620,Misfits Gaming,Gragas,0.0,0.0,0.0,0.0,1.0
621,Misfits Gaming,Graves,0.0,0.0,0.0,0.0,1.414213562
622,Misfits Gaming,Gwen,0.0,0.0,0.0,0.0,2.645751311
