champion,bot,jng,mid,sup,top
Ahri,1.0,0.0,1.7320508075688772,0.0,0.0
Akali,0.0,0.0,1.4142135623730951,0.0,0.0
Alistar,0.0,0.0,0.0,1.7320508075688772,0.0
Aphelios,1.7320508075688772,0.0,0.0,0.0,0.0
Azir,0.0,0.0,1.7320508075688772,0.0,0.0
Braum,0.0,0.0,0.0,1.4142135623730951,0.0
Camille,0.0,0.0,0.0,0.0,1.0
Corki,0.0,0.0,1.4142135623730951,0.0,0.0
Diana,0.0,2.23606797749979,0.0,0.0,0.0
Ezreal,2.23606797749979,0.0,0.0,0.0,0.0
Gangplank,0.0,0.0,0.0,0.0,2.0
Gnar,0.0,0.0,0.0,0.0,3.0
Gragas,0.0,0.0,0.0,0.0,2.0
Graves,0.0,0.0,0.0,0.0,1.4142135623730951
Gwen,0.0,0.0,0.0,0.0,2.23606797749979
Hecarim,0.0,1.0,0.0,0.0,0.0
Jayce,0.0,0.0,0.0,0.0,2.6457513110645907
Jhin,2.6457513110645907,0.0,0.0,0.0,0.0
Jinx,1.7320508075688772,0.0,0.0,0.0,0.0
Kai'Sa,1.4142135623730951,0.0,0.0,0.0,0.0
Kalista,1.7320508075688772,0.0,0.0,0.0,0.0
Karma,0.0,0.0,1.4142135623730951,0.0,1.0
Kayle,0.0,0.0,0.0,0.0,1.0
Kennen,0.0,0.0,0.0,0.0,1.7320508075688772
LeBlanc,0.0,0.0,1.0,0.0,0.0
Lee Sin,0.0,2.23606797749979,0.0,0.0,0.0
Leona,0.0,0.0,0.0,2.6457513110645907,0.0
Lillia,0.0,1.0,0.0,0.0,0.0
Lucian,1.0,0.0,0.0,0.0,0.0
Lulu,0.0,0.0,0.0,2.0,0.0
Nami,0.0,0.0,0.0,1.0,0.0
Nautilus,0.0,0.0,0.0,3.4641016151377544,0.0
Olaf,0.0,0.0,0.0,0.0,1.0
Ornn,0.0,0.0,1.0,0.0,0.0
Rakan,0.0,0.0,0.0,1.4142135623730951,0.0
Rell,0.0,0.0,0.0,1.0,0.0
Renata Glasc,0.0,0.0,0.0,2.0,0.0
Ryze,0.0,0.0,2.23606797749979,0.0,0.0
Senna,1.0,0.0,0.0,0.0,0.0
Seraphine,1.0,0.0,0.0,0.0,0.0
Sett,0.0,0.0,0.0,0.0,1.0
Sivir,1.0,0.0,0.0,0.0,0.0
Sylas,0.0,0.0,1.4142135623730951,0.0,0.0
Syndra,0.0,0.0,1.4142135623730951,0.0,0.0
Tahm Kench,0.0,0.0,0.0,1.7320508075688772,0.0
Taliyah,0.0,0.0,1.0,0.0,0.0
Talon,0.0,1.0,0.0,0.0,0.0
Trundle,0.0,1.0,0.0,0.0,0.0
Tryndamere,0.0,0.0,0.0,0.0,1.0
Twitch,1.4142135623730951,0.0,0.0,0.0,0.0
Varus,1.7320508075688772,0.0,0.0,0.0,0.0
Vex,0.0,0.0,1.7320508075688772,0.0,0.0
Viego,0.0,3.3166247903554,0.0,0.0,0.0
Viktor,0.0,0.0,1.4142135623730951,0.0,0.0
Volibear,0.0,2.449489742783178,0.0,0.0,0.0
Wukong,0.0,1.7320508075688772,0.0,0.0,0.0
Xayah,2.0,0.0,0.0,0.0,0.0
Xin Zhao,0.0,2.449489742783178,0.0,0.0,0.0
Yasuo,0.0,0.0,2.23606797749979,0.0,0.0
Yone,0.0,0.0,1.4142135623730951,0.0,0.0
Yuumi,0.0,0.0,0.0,1.0,0.0
Zeri,1.7320508075688772,0.0,0.0,0.0,0.0
Zoe,0.0,0.0,2.0,0.0,0.0
