champion,bot,jng,mid,sup,top
Ahri,0.0,0.0,2.6457513110645907,0.0,0.0
Akshan,0.0,0.0,0.0,0.0,1.0
Aphelios,4.123105625617661,0.0,0.0,0.0,0.0
Ashe,1.0,0.0,0.0,0.0,0.0
Azir,0.0,0.0,1.7320508075688772,0.0,0.0
Bard,0.0,0.0,0.0,1.0,0.0
Braum,0.0,0.0,0.0,2.0,0.0
Camille,0.0,0.0,0.0,0.0,1.4142135623730951
Cho'Gath,0.0,0.0,0.0,0.0,1.4142135623730951
Corki,0.0,0.0,2.23606797749979,0.0,0.0
Darius,0.0,0.0,0.0,0.0,2.0
Draven,1.0,0.0,0.0,0.0,0.0
Ezreal,1.7320508075688772,0.0,0.0,0.0,0.0
Fiora,0.0,0.0,0.0,0.0,2.449489742783178
Gangplank,0.0,0.0,0.0,0.0,2.0
Gnar,0.0,0.0,0.0,0.0,1.0
Gragas,0.0,0.0,0.0,0.0,1.0
Gwen,0.0,1.0,0.0,0.0,1.7320508075688772
Hecarim,0.0,1.0,0.0,0.0,0.0
Irelia,0.0,0.0,0.0,0.0,1.4142135623730951
Jarvan IV,0.0,1.0,0.0,0.0,0.0
Jax,0.0,0.0,0.0,0.0,1.4142135623730951
Jayce,0.0,0.0,0.0,0.0,1.7320508075688772
Jhin,1.0,0.0,0.0,0.0,0.0
Jinx,2.8284271247461903,0.0,0.0,0.0,0.0
Kalista,2.0,0.0,0.0,0.0,0.0
Karma,0.0,0.0,0.0,1.4142135623730951,0.0
Kayle,0.0,0.0,0.0,0.0,1.0
LeBlanc,0.0,0.0,1.0,0.0,0.0
Lee Sin,0.0,2.0,0.0,0.0,0.0
Leona,0.0,0.0,0.0,2.0,0.0
Lillia,0.0,1.0,0.0,0.0,0.0
Lissandra,0.0,0.0,1.7320508075688772,0.0,0.0
Lucian,1.4142135623730951,0.0,0.0,0.0,0.0
Lulu,0.0,0.0,0.0,1.0,0.0
Malphite,0.0,0.0,0.0,0.0,1.0
Maokai,0.0,1.7320508075688772,0.0,0.0,0.0
Miss Fortune,1.4142135623730951,0.0,0.0,0.0,0.0
Nami,0.0,0.0,0.0,1.4142135623730951,0.0
Nautilus,0.0,0.0,0.0,3.1622776601683795,0.0
Nocturne,0.0,1.0,0.0,0.0,0.0
Olaf,0.0,1.0,0.0,0.0,0.0
Orianna,0.0,0.0,1.4142135623730951,0.0,0.0
Ornn,0.0,0.0,0.0,0.0,2.23606797749979
Rakan,0.0,0.0,0.0,2.449489742783178,0.0
Rell,0.0,0.0,0.0,1.0,0.0
Renata Glasc,0.0,0.0,0.0,2.0,0.0
Riven,0.0,0.0,0.0,0.0,1.4142135623730951
Ryze,0.0,0.0,1.7320508075688772,0.0,0.0
Sejuani,0.0,1.0,0.0,0.0,1.0
Swain,0.0,0.0,1.4142135623730951,0.0,0.0
Sylas,0.0,0.0,2.0,0.0,0.0
Syndra,0.0,0.0,1.0,0.0,0.0
Tahm Kench,0.0,0.0,0.0,1.0,0.0
Thresh,0.0,0.0,0.0,2.23606797749979,0.0
Trundle,0.0,2.449489742783178,0.0,0.0,0.0
Tryndamere,0.0,0.0,0.0,0.0,1.0
Twisted Fate,0.0,0.0,1.0,0.0,0.0
Udyr,0.0,1.4142135623730951,0.0,0.0,0.0
Varus,1.0,0.0,0.0,0.0,0.0
Veigar,0.0,0.0,1.4142135623730951,0.0,0.0
Vel'Koz,0.0,0.0,1.4142135623730951,0.0,0.0
Vex,0.0,0.0,1.0,0.0,0.0
Vi,0.0,1.0,0.0,0.0,0.0
Viego,0.0,2.0,0.0,0.0,0.0
Viktor,0.0,0.0,1.7320508075688772,0.0,0.0
Volibear,0.0,2.23606797749979,0.0,0.0,0.0
Wukong,0.0,2.0,0.0,0.0,0.0
Xin Zhao,0.0,2.449489742783178,0.0,0.0,0.0
Yasuo,0.0,0.0,1.0,0.0,0.0
Yuumi,0.0,0.0,0.0,1.0,0.0
Zeri,1.0,0.0,0.0,0.0,0.0
Ziggs,1.0,0.0,0.0,0.0,0.0
Zilean,0.0,0.0,1.0,0.0,0.0
