champion,bot,jng,mid,sup,top
Aatrox,0.0,0.0,0.0,0.0,2.23606797749979
Ahri,0.0,0.0,3.7416573867739413,0.0,0.0
Akali,0.0,0.0,3.4641016151377544,0.0,0.0
Alistar,0.0,0.0,0.0,2.23606797749979,0.0
Amumu,0.0,0.0,0.0,2.0,0.0
Aphelios,4.69041575982343,0.0,0.0,0.0,0.0
Ashe,0.0,0.0,0.0,1.0,0.0
Bel'Veth,0.0,1.0,0.0,0.0,0.0
Braum,0.0,0.0,0.0,2.8284271247461903,0.0
Corki,0.0,0.0,4.0,0.0,0.0
Ezreal,3.7416573867739413,0.0,0.0,0.0,0.0
Gangplank,0.0,0.0,0.0,0.0,3.1622776601683795
Gragas,0.0,0.0,0.0,0.0,3.0
Graves,0.0,2.0,0.0,0.0,2.23606797749979
Gwen,0.0,0.0,0.0,0.0,3.1622776601683795
Hecarim,0.0,1.7320508075688772,0.0,0.0,0.0
Jarvan IV,0.0,2.449489742783178,0.0,0.0,1.0
Jayce,0.0,0.0,0.0,0.0,1.0
Jinx,4.358898943540674,0.0,0.0,0.0,0.0
Kai'Sa,1.4142135623730951,0.0,0.0,0.0,0.0
Kayle,0.0,0.0,0.0,0.0,2.0
Kennen,0.0,0.0,0.0,0.0,2.6457513110645907
LeBlanc,0.0,0.0,2.449489742783178,0.0,0.0
Lee Sin,0.0,2.6457513110645907,0.0,0.0,0.0
Leona,0.0,0.0,0.0,2.449489742783178,0.0
Lillia,0.0,0.0,0.0,0.0,1.0
Lissandra,0.0,0.0,1.4142135623730951,0.0,0.0
Lucian,1.4142135623730951,0.0,0.0,0.0,0.0
Lulu,0.0,0.0,0.0,2.6457513110645907,0.0
Malphite,0.0,0.0,0.0,0.0,1.0
Nami,0.0,0.0,0.0,1.4142135623730951,0.0
Nautilus,0.0,0.0,0.0,5.5677643628300215,0.0
Nidalee,0.0,1.0,0.0,0.0,0.0
Nocturne,0.0,1.0,0.0,0.0,0.0
Orianna,0.0,0.0,2.23606797749979,0.0,0.0
Ornn,0.0,0.0,0.0,0.0,1.0
Poppy,0.0,2.8284271247461903,0.0,0.0,0.0
Rakan,0.0,0.0,0.0,1.4142135623730951,0.0
Rek'Sai,0.0,1.0,0.0,0.0,0.0
Rell,0.0,0.0,0.0,2.0,0.0
Renata Glasc,0.0,0.0,0.0,1.4142135623730951,0.0
Renekton,0.0,0.0,0.0,0.0,1.7320508075688772
Rumble,0.0,0.0,0.0,0.0,3.0
Ryze,0.0,0.0,2.449489742783178,0.0,0.0
Samira,3.1622776601683795,0.0,0.0,0.0,0.0
Sejuani,0.0,0.0,0.0,0.0,2.6457513110645907
Senna,1.0,0.0,0.0,0.0,0.0
Seraphine,0.0,0.0,0.0,1.0,0.0
Sett,0.0,0.0,0.0,1.0,1.0
Shen,0.0,0.0,0.0,0.0,1.7320508075688772
Shyvana,0.0,0.0,0.0,0.0,2.23606797749979
Sion,0.0,0.0,0.0,0.0,1.4142135623730951
Sivir,1.4142135623730951,0.0,0.0,0.0,0.0
Sylas,0.0,0.0,3.1622776601683795,0.0,1.0
Syndra,0.0,0.0,1.4142135623730951,0.0,0.0
Tahm Kench,0.0,0.0,0.0,2.449489742783178,0.0
Taliyah,0.0,0.0,1.0,0.0,0.0
Talon,0.0,2.0,0.0,0.0,0.0
Thresh,0.0,0.0,0.0,2.23606797749979,0.0
Tristana,3.3166247903554,0.0,0.0,0.0,0.0
Trundle,0.0,2.8284271247461903,0.0,0.0,0.0
Tryndamere,0.0,0.0,0.0,0.0,1.7320508075688772
Vex,0.0,0.0,1.0,0.0,0.0
Vi,0.0,2.0,0.0,0.0,0.0
Viego,0.0,3.4641016151377544,0.0,0.0,0.0
Viktor,0.0,0.0,3.7416573867739413,0.0,0.0
Volibear,0.0,1.4142135623730951,0.0,0.0,0.0
Wukong,0.0,2.6457513110645907,0.0,0.0,0.0
Xin Zhao,0.0,4.242640687119285,0.0,0.0,0.0
Yuumi,0.0,0.0,0.0,2.0,0.0
Zed,0.0,1.4142135623730951,0.0,0.0,0.0
Zeri,2.449489742783178,0.0,0.0,0.0,0.0
