,teamname,Champion,bot,jng,mid,sup,top
714,Rogue,Aatrox,0.0,0.0,0.0,0.0,1.414213562
715,Rogue,Ahri,0.0,0.0,2.828427125,0.0,0.0
716,Rogue,Akali,0.0,0.0,0.0,0.0,0.0
717,Rogue,Akshan,0.0,0.0,0.0,0.0,1.0
718,Rogue,Alistar,0.0,0.0,0.0,0.0,0.0
719,Rogue,Amumu,0.0,0.0,0.0,1.0,0.0
720,Rogue,Aphelios,3.464101615,0.0,0.0,0.0,0.0
721,Rogue,Ashe,0.0,0.0,0.0,1.0,0.0
722,Rogue,Azir,0.0,0.0,3.31662479,0.0,0.0
723,Rogue,Bard,0.0,0.0,0.0,0.0,0.0
724,Rogue,Bel'Veth,0.0,0.0,0.0,0.0,0.0
725,Rogue,Blitzcrank,0.0,0.0,0.0,1.0,0.0
726,Rogue,Braum,0.0,0.0,0.0,1.414213562,0.0
727,Rogue,Caitlyn,2.449489743,0.0,0.0,0.0,0.0
728,Rogue,Camille,0.0,0.0,0.0,0.0,1.0
729,Rogue,Cassiopeia,0.0,0.0,0.0,0.0,0.0
730,Rogue,Corki,0.0,0.0,1.732050808,0.0,0.0
731,Rogue,Darius,0.0,0.0,0.0,0.0,0.0
732,Rogue,Diana,0.0,0.0,0.0,0.0,0.0
733,Rogue,Draven,0.0,0.0,0.0,0.0,0.0
734,Rogue,Ezreal,1.732050808,0.0,0.0,0.0,0.0
735,Rogue,Fiora,0.0,0.0,0.0,0.0,0.0
736,Rogue,Galio,0.0,0.0,0.0,1.0,0.0
737,Rogue,Gangplank,0.0,0.0,0.0,0.0,2.0
738,Rogue,Gnar,0.0,0.0,0.0,0.0,3.31662479
739,Rogue,Gragas,0.0,0.0,0.0,0.0,0.0
740,Rogue,Graves,0.0,0.0,0.0,0.0,2.236067977
741,Rogue,Gwen,0.0,0.0,0.0,0.0,2.449489743
742,Rogue,Hecarim,0.0,2.0,0.0,0.0,0.0
743,Rogue,Irelia,0.0,0.0,0.0,0.0,0.0
744,Rogue,Janna,0.0,0.0,0.0,1.414213562,0.0
745,Rogue,Jarvan IV,0.0,3.872983346,0.0,0.0,0.0
746,Rogue,Jax,0.0,0.0,0.0,0.0,0.0
747,Rogue,Jayce,0.0,0.0,0.0,0.0,2.645751311
748,Rogue,Jhin,2.0,0.0,0.0,0.0,0.0
749,Rogue,Jinx,3.0,0.0,0.0,0.0,0.0
750,Rogue,Kai'Sa,0.0,0.0,1.0,0.0,0.0
751,Rogue,Kalista,2.449489743,0.0,0.0,0.0,0.0
752,Rogue,Karma,0.0,0.0,0.0,0.0,0.0
753,Rogue,Karthus,0.0,0.0,0.0,0.0,0.0
754,Rogue,Kassadin,0.0,0.0,0.0,0.0,0.0
755,Rogue,Kayle,0.0,0.0,0.0,0.0,0.0
756,Rogue,Kennen,0.0,0.0,0.0,0.0,0.0
757,Rogue,Kled,0.0,0.0,0.0,0.0,0.0
758,Rogue,Kog'Maw,0.0,0.0,0.0,0.0,0.0
759,Rogue,LeBlanc,0.0,0.0,1.414213562,0.0,0.0
760,Rogue,Lee Sin,0.0,2.236067977,0.0,0.0,0.0
761,Rogue,Leona,0.0,0.0,0.0,1.0,0.0
762,Rogue,Lillia,0.0,0.0,0.0,0.0,0.0
763,Rogue,Lissandra,0.0,0.0,1.0,0.0,0.0
764,Rogue,Lucian,3.0,0.0,1.414213562,0.0,0.0
765,Rogue,Lulu,0.0,0.0,0.0,2.645751311,0.0
766,Rogue,Lux,0.0,0.0,0.0,2.0,0.0
767,Rogue,Malphite,0.0,0.0,0.0,0.0,0.0
768,Rogue,Malzahar,0.0,0.0,0.0,0.0,0.0
769,Rogue,Miss Fortune,0.0,0.0,0.0,0.0,0.0
770,Rogue,Mordekaiser,0.0,0.0,0.0,0.0,0.0
