champion,bot,jng,mid,sup,top
Aatrox,0.0,0.0,0.0,0.0,1.4142135623730951
Ahri,0.0,0.0,1.0,0.0,0.0
Akali,0.0,0.0,2.0,0.0,0.0
Alistar,0.0,0.0,0.0,1.4142135623730951,0.0
Aphelios,2.23606797749979,0.0,0.0,0.0,0.0
Azir,0.0,0.0,1.0,0.0,0.0
Braum,0.0,0.0,0.0,1.0,0.0
Caitlyn,1.0,0.0,0.0,0.0,0.0
Camille,0.0,0.0,0.0,0.0,1.0
Corki,0.0,0.0,1.7320508075688772,0.0,0.0
Darius,0.0,0.0,0.0,0.0,1.0
Draven,1.4142135623730951,0.0,0.0,0.0,0.0
Ezreal,2.0,0.0,0.0,0.0,0.0
Gangplank,0.0,0.0,0.0,0.0,1.0
Gnar,0.0,0.0,0.0,0.0,2.23606797749979
Gragas,0.0,0.0,0.0,0.0,2.0
Graves,0.0,0.0,0.0,0.0,2.23606797749979
Gwen,0.0,0.0,0.0,0.0,1.7320508075688772
Hecarim,0.0,2.0,0.0,0.0,0.0
Jarvan IV,0.0,2.449489742783178,0.0,0.0,0.0
Jayce,0.0,0.0,0.0,0.0,1.4142135623730951
Jhin,1.0,0.0,0.0,0.0,0.0
Jinx,3.1622776601683795,0.0,0.0,0.0,0.0
Kalista,1.4142135623730951,0.0,0.0,0.0,0.0
Karthus,1.0,0.0,0.0,0.0,0.0
Kayle,0.0,0.0,0.0,0.0,1.0
LeBlanc,0.0,0.0,2.449489742783178,0.0,0.0
Lee Sin,0.0,2.23606797749979,0.0,0.0,1.0
Leona,0.0,0.0,0.0,2.6457513110645907,0.0
Lissandra,0.0,0.0,1.4142135623730951,0.0,0.0
Lulu,0.0,0.0,0.0,1.0,0.0
Malphite,0.0,0.0,0.0,0.0,1.0
Nautilus,0.0,0.0,0.0,2.8284271247461903,0.0
Olaf,0.0,1.0,0.0,0.0,0.0
Orianna,0.0,0.0,2.0,0.0,0.0
Ornn,0.0,0.0,0.0,0.0,1.0
Poppy,0.0,2.0,0.0,0.0,0.0
Rakan,0.0,0.0,0.0,2.23606797749979,0.0
Rell,0.0,0.0,0.0,1.0,0.0
Renata Glasc,0.0,0.0,0.0,2.449489742783178,0.0
Renekton,0.0,0.0,0.0,0.0,1.0
Ryze,0.0,0.0,1.4142135623730951,0.0,0.0
Samira,1.0,0.0,0.0,0.0,0.0
Senna,0.0,0.0,0.0,1.4142135623730951,0.0
Sett,0.0,0.0,0.0,0.0,1.0
Shyvana,0.0,0.0,0.0,0.0,1.4142135623730951
Sion,0.0,0.0,0.0,0.0,1.0
Sivir,1.0,0.0,0.0,0.0,0.0
Sylas,0.0,0.0,2.0,0.0,1.0
Tahm Kench,1.0,0.0,0.0,1.0,0.0
Taliyah,0.0,0.0,1.4142135623730951,0.0,0.0
Trundle,0.0,1.0,0.0,0.0,0.0
Tryndamere,0.0,0.0,0.0,0.0,1.0
Vayne,1.0,0.0,0.0,0.0,0.0
Vex,0.0,0.0,1.0,0.0,0.0
Vi,0.0,1.4142135623730951,0.0,0.0,0.0
Viego,0.0,1.4142135623730951,0.0,0.0,0.0
Viktor,0.0,0.0,2.0,0.0,0.0
Volibear,0.0,2.0,0.0,0.0,0.0
Wukong,0.0,1.4142135623730951,0.0,0.0,0.0
Xayah,1.0,0.0,0.0,0.0,0.0
Xin Zhao,0.0,2.0,0.0,0.0,0.0
Yasuo,1.0,0.0,0.0,0.0,0.0
Yuumi,0.0,0.0,0.0,1.0,0.0
Zeri,1.4142135623730951,0.0,0.0,0.0,0.0
Ziggs,1.0,0.0,0.0,0.0,0.0
Zoe,0.0,0.0,1.0,0.0,0.0
