champion,bot,jng,mid,sup,top
Aatrox,0.0,0.0,0.0,0.0,1.4142135623730951
Ahri,0.0,0.0,1.7320508075688772,0.0,0.0
Akali,0.0,0.0,2.449489742783178,0.0,1.0
Akshan,0.0,0.0,0.0,0.0,1.7320508075688772
Alistar,0.0,0.0,0.0,2.23606797749979,0.0
Amumu,0.0,0.0,0.0,1.4142135623730951,0.0
Aphelios,4.58257569495584,0.0,0.0,0.0,0.0
Azir,0.0,0.0,3.3166247903554,0.0,0.0
Braum,0.0,0.0,0.0,1.4142135623730951,0.0
Caitlyn,1.0,0.0,0.0,0.0,0.0
Camille,0.0,0.0,0.0,0.0,1.0
Corki,0.0,0.0,3.0,0.0,0.0
Diana,0.0,1.0,0.0,0.0,0.0
Dr. Mundo,0.0,1.0,0.0,0.0,0.0
Draven,1.4142135623730951,0.0,0.0,0.0,0.0
Ezreal,1.7320508075688772,0.0,0.0,0.0,0.0
Gangplank,0.0,0.0,0.0,0.0,1.0
Gnar,0.0,0.0,0.0,0.0,3.605551275463989
Gragas,0.0,0.0,0.0,0.0,1.7320508075688772
Graves,0.0,1.7320508075688772,0.0,0.0,1.4142135623730951
Gwen,0.0,0.0,0.0,0.0,3.0
Hecarim,0.0,1.0,0.0,0.0,0.0
Jarvan IV,0.0,1.7320508075688772,0.0,0.0,0.0
Jax,0.0,0.0,0.0,0.0,1.0
Jayce,0.0,0.0,0.0,0.0,2.0
Jhin,1.7320508075688772,0.0,0.0,0.0,0.0
Jinx,3.872983346207417,0.0,0.0,0.0,0.0
Kai'Sa,1.4142135623730951,0.0,0.0,0.0,0.0
Kalista,3.0,0.0,0.0,0.0,0.0
Karma,0.0,0.0,0.0,1.0,0.0
Kayle,0.0,0.0,0.0,0.0,1.7320508075688772
Kindred,0.0,2.449489742783178,0.0,0.0,0.0
LeBlanc,0.0,0.0,2.23606797749979,0.0,0.0
Lee Sin,0.0,2.6457513110645907,0.0,0.0,1.0
Leona,0.0,0.0,0.0,2.23606797749979,0.0
Lillia,0.0,0.0,0.0,0.0,1.4142135623730951
Lissandra,0.0,0.0,2.23606797749979,0.0,0.0
Lucian,1.0,0.0,1.0,0.0,0.0
Lulu,0.0,0.0,0.0,2.0,0.0
Nami,0.0,0.0,0.0,1.0,0.0
Nautilus,0.0,0.0,0.0,5.0990195135927845,0.0
Nidalee,0.0,1.7320508075688772,0.0,0.0,0.0
Olaf,0.0,1.0,0.0,0.0,1.0
Orianna,0.0,0.0,1.7320508075688772,0.0,0.0
Ornn,0.0,0.0,0.0,0.0,1.0
Pantheon,0.0,2.0,0.0,0.0,0.0
Poppy,0.0,2.0,0.0,0.0,0.0
Rakan,0.0,0.0,0.0,2.0,0.0
Rek'Sai,0.0,2.449489742783178,0.0,0.0,0.0
Rell,0.0,0.0,0.0,1.0,0.0
Renata Glasc,0.0,0.0,0.0,2.0,0.0
Renekton,0.0,0.0,1.0,0.0,3.0
Ryze,0.0,0.0,2.8284271247461903,0.0,0.0
Sejuani,0.0,0.0,0.0,0.0,2.8284271247461903
Senna,1.4142135623730951,0.0,0.0,0.0,0.0
Sett,0.0,0.0,0.0,1.4142135623730951,1.4142135623730951
Shyvana,0.0,0.0,0.0,0.0,1.4142135623730951
Sivir,1.7320508075688772,0.0,0.0,0.0,0.0
Swain,0.0,0.0,2.23606797749979,0.0,0.0
Sylas,0.0,0.0,1.4142135623730951,0.0,2.23606797749979
Syndra,0.0,0.0,2.0,0.0,0.0
Tahm Kench,0.0,0.0,0.0,3.4641016151377544,0.0
Taliyah,0.0,1.7320508075688772,2.23606797749979,0.0,0.0
Thresh,0.0,0.0,0.0,2.0,0.0
Trundle,0.0,2.6457513110645907,0.0,0.0,0.0
Tryndamere,0.0,0.0,0.0,0.0,1.4142135623730951
Twitch,1.0,0.0,0.0,0.0,0.0
Vi,0.0,1.4142135623730951,0.0,0.0,0.0
Viego,0.0,3.1622776601683795,0.0,0.0,0.0
Viktor,0.0,0.0,2.0,0.0,0.0
Volibear,0.0,2.449489742783178,0.0,0.0,0.0
Wukong,0.0,2.449489742783178,0.0,0.0,0.0
Xayah,2.23606797749979,0.0,0.0,0.0,0.0
Xin Zhao,0.0,1.4142135623730951,0.0,0.0,0.0
Yuumi,0.0,0.0,0.0,1.7320508075688772,0.0
Zeri,2.6457513110645907,0.0,0.0,0.0,0.0
Ziggs,1.0,0.0,0.0,0.0,0.0
Zoe,0.0,0.0,2.0,0.0,0.0
