,teamname,Champion,bot,jng,mid,sup,top
952,Team BDS,Aatrox,0.0,0.0,0.0,0.0,1.0
953,Team BDS,Ahri,0.0,0.0,2.0,0.0,0.0
954,Team BDS,Akali,0.0,0.0,1.0,0.0,1.414213562
955,Team BDS,Akshan,0.0,0.0,0.0,0.0,0.0
956,Team BDS,Alistar,0.0,0.0,0.0,0.0,0.0
957,Team BDS,Amumu,0.0,0.0,0.0,1.0,0.0
958,Team BDS,Aphelios,2.645751311,0.0,0.0,0.0,0.0
959,Team BDS,Ashe,0.0,0.0,0.0,0.0,0.0
960,Team BDS,Azir,0.0,0.0,1.0,0.0,0.0
961,Team BDS,Bard,0.0,0.0,0.0,1.0,0.0
962,Team BDS,Bel'Veth,0.0,0.0,0.0,0.0,0.0
963,Team BDS,Blitzcrank,0.0,0.0,0.0,0.0,0.0
964,Team BDS,Braum,0.0,0.0,0.0,1.414213562,0.0
965,Team BDS,Caitlyn,1.0,0.0,0.0,0.0,0.0
966,Team BDS,Camille,0.0,0.0,0.0,0.0,1.0
967,Team BDS,Cassiopeia,0.0,0.0,0.0,0.0,0.0
968,Team BDS,Corki,0.0,0.0,0.0,0.0,0.0
969,Team BDS,Darius,0.0,0.0,0.0,0.0,1.414213562
970,Team BDS,Diana,0.0,1.414213562,0.0,0.0,0.0
971,Team BDS,Draven,0.0,0.0,0.0,0.0,0.0
972,Team BDS,Ezreal,2.449489743,0.0,0.0,0.0,0.0
973,Team BDS,Fiora,0.0,0.0,0.0,0.0,0.0
974,Team BDS,Galio,0.0,0.0,1.0,1.0,0.0
975,Team BDS,Gangplank,0.0,0.0,0.0,0.0,1.0
976,Team BDS,Gnar,0.0,0.0,0.0,0.0,2.0
977,Team BDS,Gragas,0.0,0.0,0.0,0.0,0.0
978,Team BDS,Graves,0.0,0.0,0.0,0.0,1.0
979,Team BDS,Gwen,0.0,1.0,0.0,0.0,1.732050808
980,Team BDS,Hecarim,0.0,1.732050808,0.0,0.0,0.0
981,Team BDS,Irelia,0.0,0.0,0.0,0.0,1.732050808
982,Team BDS,Janna,0.0,0.0,0.0,0.0,0.0
983,Team BDS,Jarvan IV,0.0,2.236067977,0.0,0.0,0.0
984,Team BDS,Jax,0.0,0.0,0.0,0.0,0.0
985,Team BDS,Jayce,0.0,0.0,0.0,0.0,1.732050808
986,Team BDS,Jhin,1.732050808,0.0,0.0,0.0,0.0
987,Team BDS,Jinx,2.236067977,0.0,0.0,0.0,0.0
988,Team BDS,Kai'Sa,0.0,0.0,0.0,0.0,0.0
989,Team BDS,Kalista,0.0,0.0,0.0,0.0,0.0
990,Team BDS,Karma,0.0,0.0,0.0,2.236067977,0.0
991,Team BDS,Karthus,0.0,0.0,0.0,0.0,0.0
