champion,bot,jng,mid,sup,top
Ahri,0.0,0.0,2.0,0.0,0.0
Akali,0.0,0.0,1.0,0.0,0.0
Akshan,0.0,0.0,1.0,0.0,0.0
Amumu,0.0,0.0,0.0,1.0,0.0
Anivia,0.0,0.0,1.0,0.0,0.0
Aphelios,2.6457513110645907,0.0,0.0,0.0,0.0
Ashe,1.4142135623730951,0.0,0.0,0.0,0.0
Azir,0.0,0.0,1.0,0.0,0.0
Braum,0.0,0.0,0.0,2.449489742783178,0.0
Caitlyn,2.0,0.0,0.0,0.0,0.0
Camille,0.0,0.0,0.0,0.0,3.1622776601683795
Cassiopeia,0.0,0.0,1.7320508075688772,0.0,0.0
Corki,0.0,0.0,2.0,0.0,0.0
Diana,0.0,1.4142135623730951,0.0,0.0,0.0
Draven,1.0,0.0,0.0,0.0,0.0
Evelynn,0.0,1.0,0.0,0.0,0.0
Fiddlesticks,0.0,1.0,0.0,0.0,0.0
Gangplank,0.0,0.0,0.0,0.0,2.23606797749979
Gnar,0.0,0.0,0.0,0.0,1.4142135623730951
Gragas,0.0,0.0,0.0,0.0,1.7320508075688772
Graves,0.0,1.4142135623730951,0.0,0.0,1.4142135623730951
Gwen,0.0,0.0,0.0,0.0,1.7320508075688772
Hecarim,0.0,1.0,0.0,0.0,0.0
Heimerdinger,1.0,0.0,0.0,0.0,0.0
Ivern,0.0,1.4142135623730951,0.0,0.0,0.0
Janna,0.0,0.0,0.0,1.0,0.0
Jarvan IV,0.0,2.0,0.0,0.0,0.0
Jayce,0.0,0.0,1.0,0.0,0.0
Jhin,1.7320508075688772,0.0,0.0,0.0,0.0
Jinx,1.0,0.0,0.0,0.0,0.0
Kalista,1.0,0.0,0.0,0.0,0.0
Karma,0.0,0.0,0.0,1.7320508075688772,1.0
Karthus,0.0,2.23606797749979,1.0,0.0,0.0
Kha'Zix,0.0,1.0,0.0,0.0,0.0
Kog'Maw,1.0,0.0,0.0,0.0,0.0
Lee Sin,0.0,1.0,0.0,0.0,0.0
Leona,0.0,0.0,0.0,2.6457513110645907,0.0
Lillia,0.0,2.23606797749979,0.0,0.0,0.0
Lucian,1.0,0.0,1.7320508075688772,0.0,0.0
Lulu,0.0,0.0,1.0,1.4142135623730951,0.0
Lux,0.0,0.0,0.0,1.0,0.0
Malphite,0.0,0.0,0.0,0.0,1.0
Maokai,0.0,1.0,0.0,0.0,0.0
Master Yi,0.0,1.0,0.0,0.0,0.0
Miss Fortune,2.0,0.0,0.0,0.0,0.0
Morgana,0.0,1.0,0.0,0.0,0.0
Nami,0.0,0.0,0.0,1.0,0.0
Nasus,0.0,0.0,0.0,0.0,1.0
Nautilus,0.0,0.0,0.0,3.605551275463989,0.0
Nidalee,0.0,1.0,0.0,0.0,0.0
Nocturne,0.0,1.0,0.0,0.0,0.0
Orianna,0.0,0.0,2.449489742783178,0.0,0.0
Ornn,0.0,0.0,0.0,0.0,1.7320508075688772
Pantheon,0.0,0.0,0.0,0.0,1.4142135623730951
Poppy,0.0,1.0,0.0,0.0,0.0
Pyke,0.0,0.0,0.0,1.0,0.0
Quinn,0.0,0.0,1.0,0.0,0.0
Rakan,0.0,0.0,0.0,1.4142135623730951,0.0
Rell,0.0,0.0,0.0,1.0,0.0
Renata Glasc,0.0,0.0,0.0,1.4142135623730951,0.0
Renekton,0.0,0.0,0.0,0.0,1.0
Riven,0.0,0.0,0.0,0.0,1.0
Ryze,0.0,0.0,1.0,0.0,0.0
Sejuani,0.0,1.0,0.0,0.0,0.0
Senna,1.7320508075688772,0.0,0.0,0.0,0.0
Seraphine,1.4142135623730951,0.0,0.0,0.0,0.0
Sett,0.0,0.0,1.0,0.0,0.0
Shyvana,0.0,0.0,0.0,0.0,1.0
Sion,0.0,0.0,0.0,0.0,2.23606797749979
Sivir,1.4142135623730951,0.0,0.0,0.0,0.0
Soraka,0.0,0.0,1.0,0.0,0.0
Swain,0.0,0.0,1.4142135623730951,0.0,1.7320508075688772
Syndra,0.0,0.0,1.4142135623730951,0.0,0.0
Tahm Kench,0.0,0.0,0.0,1.4142135623730951,0.0
Taliyah,0.0,0.0,1.0,0.0,0.0
Taric,0.0,0.0,0.0,1.0,0.0
Thresh,0.0,0.0,0.0,1.7320508075688772,0.0
Tristana,1.0,0.0,1.4142135623730951,0.0,0.0
Tryndamere,0.0,0.0,0.0,0.0,1.0
Twitch,2.8284271247461903,0.0,0.0,0.0,0.0
Udyr,0.0,1.0,0.0,0.0,0.0
Urgot,0.0,0.0,0.0,0.0,1.0
Varus,1.4142135623730951,0.0,0.0,0.0,0.0
Veigar,0.0,0.0,1.0,0.0,0.0
Viego,0.0,1.4142135623730951,0.0,0.0,0.0
Viktor,0.0,0.0,2.449489742783178,0.0,0.0
Wukong,0.0,2.0,0.0,0.0,1.0
Xayah,1.0,0.0,0.0,0.0,0.0
Xerath,0.0,0.0,1.4142135623730951,0.0,0.0
Xin Zhao,0.0,3.1622776601683795,0.0,0.0,0.0
Yasuo,0.0,0.0,1.0,0.0,1.0
Yorick,0.0,0.0,0.0,0.0,1.0
Yuumi,0.0,0.0,0.0,1.4142135623730951,0.0
Zeri,1.7320508075688772,0.0,0.0,0.0,0.0
Ziggs,1.0,0.0,0.0,0.0,0.0
Zoe,0.0,0.0,1.0,0.0,0.0
