,teamname,Champion,bot,jng,mid,sup,top
1071,Team Vitality,Aatrox,0.0,0.0,0.0,0.0,1.0
1072,Team Vitality,Ahri,0.0,0.0,2.645751311,0.0,0.0
1073,Team Vitality,Akali,0.0,0.0,1.732050808,0.0,0.0
1074,Team Vitality,Akshan,0.0,0.0,1.0,0.0,0.0
1075,Team Vitality,Alistar,0.0,0.0,0.0,1.414213562,0.0
1076,Team Vitality,Amumu,0.0,0.0,0.0,0.0,0.0
1077,Team Vitality,Aphelios,3.464101615,0.0,0.0,0.0,0.0
1078,Team Vitality,Ashe,0.0,0.0,0.0,0.0,0.0
1079,Team Vitality,Azir,0.0,0.0,1.732050808,0.0,0.0
1080,Team Vitality,Bard,0.0,0.0,0.0,0.0,0.0
1081,Team Vitality,Bel'Veth,0.0,1.0,0.0,0.0,0.0
1082,Team Vitality,Blitzcrank,0.0,0.0,0.0,0.0,0.0
1083,Team Vitality,Braum,0.0,0.0,0.0,0.0,0.0
1084,Team Vitality,Caitlyn,1.414213562,0.0,0.0,0.0,0.0
1085,Team Vitality,Camille,0.0,0.0,0.0,0.0,2.449489743
1086,Team Vitality,Cassiopeia,0.0,0.0,0.0,0.0,0.0
1087,Team Vitality,Corki,0.0,0.0,2.0,0.0,0.0
1088,Team Vitality,Darius,0.0,0.0,0.0,0.0,0.0
1089,Team Vitality,Diana,0.0,1.732050808,0.0,0.0,0.0
1090,Team Vitality,Draven,0.0,0.0,0.0,0.0,0.0
1091,Team Vitality,Ezreal,2.0,0.0,0.0,0.0,0.0
1092,Team Vitality,Fiora,0.0,0.0,0.0,0.0,0.0
1093,Team Vitality,Galio,0.0,0.0,1.0,1.0,0.0
1094,Team Vitality,Gangplank,0.0,0.0,0.0,0.0,2.645751311
1095,Team Vitality,Gnar,0.0,0.0,0.0,0.0,3.741657387
1096,Team Vitality,Gragas,0.0,0.0,0.0,0.0,0.0
1097,Team Vitality,Graves,0.0,0.0,0.0,0.0,1.0
1098,Team Vitality,Gwen,0.0,1.414213562,0.0,0.0,1.414213562
1099,Team Vitality,Hecarim,0.0,1.732050808,0.0,0.0,0.0
1100,Team Vitality,Irelia,0.0,0.0,0.0,0.0,0.0
1101,Team Vitality,Janna,0.0,0.0,0.0,0.0,0.0
1102,Team Vitality,Jarvan IV,0.0,1.414213562,0.0,0.0,0.0
1103,Team Vitality,Jax,0.0,0.0,0.0,0.0,1.414213562
1104,Team Vitality,Jayce,0.0,0.0,0.0,0.0,1.732050808
1105,Team Vitality,Jhin,1.414213562,0.0,0.0,0.0,0.0
1106,Team Vitality,Jinx,2.449489743,0.0,0.0,0.0,0.0
1107,Team Vitality,Kai'Sa,0.0,0.0,0.0,0.0,0.0
1108,Team Vitality,Kalista,0.0,0.0,0.0,0.0,0.0
1109,Team Vitality,Karma,0.0,0.0,0.0,1.0,0.0
1110,Team Vitality,Karthus,0.0,0.0,0.0,0.0,0.0
1111,Team Vitality,Kassadin,0.0,0.0,0.0,0.0,0.0
1112,Team Vitality,Kayle,0.0,0.0,0.0,0.0,0.0
1113,Team Vitality,Kennen,0.0,0.0,0.0,0.0,1.414213562
1114,Team Vitality,Kled,0.0,0.0,0.0,0.0,0.0
1115,Team Vitality,Kog'Maw,0.0,0.0,0.0,0.0,0.0
1116,Team Vitality,LeBlanc,0.0,0.0,1.732050808,0.0,0.0
1117,Team Vitality,Lee Sin,0.0,1.732050808,0.0,0.0,0.0
1118,Team Vitality,Leona,0.0,0.0,0.0,1.0,0.0
1119,Team Vitality,Lillia,0.0,0.0,0.0,0.0,0.0
1120,Team Vitality,Lissandra,0.0,0.0,0.0,0.0,0.0
1121,Team Vitality,Lucian,1.0,0.0,0.0,0.0,0.0
1122,Team Vitality,Lulu,0.0,0.0,0.0,1.0,0.0
1123,Team Vitality,Lux,0.0,0.0,0.0,0.0,0.0
1124,Team Vitality,Malphite,0.0,0.0,0.0,0.0,0.0
1125,Team Vitality,Malzahar,0.0,0.0,0.0,0.0,0.0
1126,Team Vitality,Miss Fortune,0.0,0.0,0.0,0.0,0.0
1127,Team Vitality,Mordekaiser,0.0,0.0,0.0,0.0,0.0
1128,Team Vitality,Morgana,0.0,0.0,0.0,0.0,0.0
1129,Team Vitality,Nami,0.0,0.0,0.0,1.0,0.0
1130,Team Vitality,Nautilus,0.0,0.0,0.0,2.236067977,0.0
