champion,bot,jng,mid,sup,top
Aatrox,0.0,0.0,0.0,0.0,1.7320508075688772
Ahri,0.0,0.0,2.6457513110645907,0.0,0.0
Akali,0.0,0.0,0.0,0.0,1.0
Alistar,0.0,0.0,0.0,1.0,0.0
Amumu,0.0,0.0,0.0,1.0,0.0
Aphelios,2.449489742783178,0.0,0.0,0.0,0.0
Ashe,1.0,0.0,0.0,0.0,0.0
Azir,0.0,0.0,1.0,0.0,0.0
Braum,0.0,0.0,0.0,1.0,0.0
Camille,0.0,0.0,0.0,0.0,2.0
Corki,0.0,0.0,1.4142135623730951,0.0,0.0
Ezreal,2.23606797749979,0.0,0.0,0.0,0.0
Galio,0.0,0.0,1.0,0.0,0.0
Gangplank,0.0,0.0,0.0,0.0,2.0
Gnar,0.0,0.0,0.0,0.0,3.1622776601683795
Gragas,0.0,0.0,0.0,0.0,1.4142135623730951
Gwen,0.0,2.0,0.0,0.0,1.7320508075688772
Hecarim,0.0,2.0,0.0,0.0,0.0
Janna,0.0,0.0,0.0,1.0,0.0
Jax,0.0,0.0,0.0,0.0,1.0
Jhin,2.0,0.0,0.0,0.0,0.0
Jinx,3.0,0.0,0.0,0.0,0.0
Kai'Sa,1.0,0.0,0.0,0.0,0.0
Karma,0.0,0.0,1.0,2.0,0.0
Katarina,0.0,0.0,1.0,0.0,0.0
LeBlanc,0.0,0.0,1.0,0.0,0.0
Lee Sin,0.0,1.4142135623730951,0.0,0.0,0.0
Leona,0.0,0.0,0.0,1.4142135623730951,0.0
Lillia,0.0,1.4142135623730951,0.0,0.0,0.0
Lucian,1.4142135623730951,0.0,0.0,0.0,0.0
Lulu,0.0,0.0,0.0,2.0,0.0
Lux,0.0,0.0,1.0,0.0,0.0
Miss Fortune,1.0,0.0,0.0,0.0,0.0
Nami,0.0,0.0,0.0,1.0,0.0
Nautilus,0.0,0.0,0.0,2.449489742783178,0.0
Nidalee,0.0,0.0,0.0,0.0,1.0
Orianna,0.0,0.0,1.7320508075688772,0.0,0.0
Ornn,0.0,0.0,0.0,0.0,3.0
Pantheon,0.0,0.0,0.0,1.0,0.0
Rakan,0.0,0.0,0.0,2.0,0.0
Renata Glasc,0.0,0.0,0.0,1.7320508075688772,0.0
Renekton,0.0,0.0,0.0,0.0,1.4142135623730951
Ryze,0.0,0.0,2.6457513110645907,0.0,0.0
Samira,1.0,0.0,0.0,0.0,0.0
Senna,1.0,0.0,0.0,1.0,0.0
Seraphine,1.4142135623730951,0.0,0.0,0.0,0.0
Sett,0.0,0.0,0.0,1.0,1.4142135623730951
Shen,0.0,1.0,0.0,0.0,0.0
Sion,0.0,0.0,1.0,0.0,0.0
Sylas,0.0,0.0,1.0,0.0,0.0
Syndra,0.0,0.0,2.0,0.0,0.0
Tahm Kench,0.0,0.0,0.0,1.4142135623730951,0.0
Taliyah,0.0,0.0,1.0,0.0,0.0
Thresh,0.0,0.0,0.0,2.0,0.0
Twitch,1.0,0.0,0.0,0.0,0.0
Udyr,0.0,1.0,0.0,0.0,0.0
Varus,1.0,0.0,0.0,0.0,0.0
Viego,0.0,3.3166247903554,0.0,0.0,0.0
Viktor,0.0,0.0,2.6457513110645907,0.0,0.0
Volibear,0.0,1.4142135623730951,0.0,0.0,0.0
Wukong,0.0,2.449489742783178,0.0,0.0,1.0
Xayah,2.0,0.0,0.0,0.0,0.0
Xerath,0.0,0.0,1.4142135623730951,0.0,0.0
Xin Zhao,0.0,3.1622776601683795,0.0,0.0,0.0
Yasuo,0.0,0.0,1.0,0.0,0.0
Yone,0.0,0.0,1.0,0.0,0.0
Yuumi,0.0,0.0,0.0,2.449489742783178,0.0
Zeri,2.0,0.0,0.0,0.0,0.0
